ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Np Likeness Score,Molecular Species,Molecular Formula,Smiles,Inchi Key
CHEMBL5091919,,,Unknown,,422.81,1,1,2.48,147.42,9,1,0,5,N,0.37,None,None,3.27,3.27,3,MOL,-1,28,10,2,0,422.0088,-1.6,NEUTRAL,C16H11ClN4O6S,Nc1cc(OC(=O)c2ccc([N+](=O)[O-])cc2)nn1S(=O)(=O)c1ccc(Cl)cc1,NLQILOYFFSPPJZ-UHFFFAOYSA-N
CHEMBL5088747,,,Unknown,,480.46,1,1,3.62,156.65,10,1,0,7,N,0.24,None,None,4.16,4.16,4,MOL,-1,34,11,2,1,480.074,-1.27,NEUTRAL,C22H16N4O7S,Nc1cc(OC(=O)c2ccc([N+](=O)[O-])cc2)nn1S(=O)(=O)c1ccc(Oc2ccccc2)cc1,ADGMDCXGLBRQSM-UHFFFAOYSA-N
CHEMBL1327612,,,Small molecule,,305.25,16,18,1.68,138.84,8,3,0,4,N,0.57,8.78,None,2.77,2.75,2,MOL,-1,22,9,3,0,305.0648,-0.5,NEUTRAL,C13H11N3O6,COc1cccc(/C=C/c2nc(O)nc(O)c2[N+](=O)[O-])c1O,WHTWQZXNVNSSCA-AATRIKPKSA-N
CHEMBL1334452,,,Small molecule,,349.35,48,58,2.87,101.39,6,2,0,5,N,0.57,None,None,1.87,1.87,4,MOL,-1,26,7,2,0,349.1063,-1.07,NEUTRAL,C19H15N3O4,O=C(NCCO)c1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1,DIJZDJPXWPNEOI-UHFFFAOYSA-N
CHEMBL5090699,,,Unknown,,401.44,1,1,2.63,113.51,8,1,0,6,N,0.63,None,None,3.44,3.44,3,MOL,-1,28,8,2,0,401.1045,-1.36,NEUTRAL,C19H19N3O5S,CCOc1ccc(S(=O)(=O)n2nc(OC(=O)c3ccc(C)cc3)cc2N)cc1,FLOBDCJLKIWIHX-UHFFFAOYSA-N
CHEMBL1443679,,,Small molecule,,387.46,37,47,4.21,92.7,5,2,0,6,N,0.57,2.78,None,5.53,2.04,2,MOL,-1,27,6,2,0,387.114,-0.74,ACID,C20H21NO5S,COC(=O)c1c(NC(=O)/C=C/C(=O)O)sc(C)c1-c1ccc(C(C)C)cc1,KNWCZRXQURNYDN-MDZDMXLPSA-N
CHEMBL1392133,,,Small molecule,,428.55,15,17,4.78,109.49,4,3,0,6,N,0.62,4.57,None,5.53,2.78,2,MOL,-1,30,6,4,0,428.177,-0.93,ACID,C23H28N2O4S,Cc1sc(NC(=O)C2CCCCC2C(=O)O)c(C(N)=O)c1-c1ccc(C(C)C)cc1,PYNJLWRXJQEMHX-UHFFFAOYSA-N
CHEMBL1425314,,,Small molecule,,352.41,36,43,4.86,73.12,3,2,0,3,N,0.47,6.82,None,4.83,4.15,2,MOL,-1,26,4,2,0,352.1587,-1.88,NEUTRAL,C21H21FN2O2,Cc1ccc(F)c(NC(=O)/C(C#N)=C(\O)c2ccc(C(C)(C)C)cc2)c1,PGHKSDYRLSZKEF-MNDPQUGUSA-N
CHEMBL1471595,,,Small molecule,,390.86,35,42,4.3,69.67,5,0,0,5,N,0.4,None,None,3.9,3.9,0,MOL,-1,27,5,0,0,390.1234,2.8,NEUTRAL,C21H23ClO5,CCC(C)/C=C(C)/C=C/C1=CC2=C(Cl)C(=O)C(C)(OC(C)=O)C(=O)C2=CO1,SWJLTKXURNHVHE-NJHPPEEMSA-N
CHEMBL1373316,,,Small molecule,,338.79,44,64,2.06,89.75,7,0,0,4,N,0.62,None,None,2.09,2.09,1,MOL,-1,20,7,0,0,337.9798,-1.34,NEUTRAL,C10H11ClN2O5S2,C=CS(=O)(=O)c1sc(Cl)c(N2CCOCC2)c1[N+](=O)[O-],BDUFBTGQWFRIIG-UHFFFAOYSA-N
CHEMBL4849423,,,Unknown,,509.63,4,5,4.29,127.59,5,3,1,12,N,0.31,10.25,None,4.25,4.25,3,MOL,-1,36,8,4,1,509.1984,-1.15,NEUTRAL,C27H31N3O5S,CCCCCC(=O)N[C@H](C(=O)Nc1ccc(S(N)(=O)=O)cc1)c1ccc(OCc2ccccc2)cc1,FNHJVUIJPBASMM-SANMLTNESA-N
CHEMBL1995904,,,Small molecule,,448.48,31,39,4.68,115.09,7,2,0,9,N,0.28,12.67,4.37,5.36,5.36,3,MOL,-1,33,9,2,0,448.1747,-1.73,NEUTRAL,C24H24N4O5,COc1cc(/C=N\Nc2ccc([N+](=O)[O-])cc2)ccc1OCC(=O)Nc1ccc(C)c(C)c1,DGSPNPFDMSEQDG-QFEZKATASA-N
