SMILES,Score,Scaffold
Cc1ccc(C2NC(C)C(CC3CCC3)C2C(=O)NC(=O)c2ccccc2)cc1,0.0,unknown
Cc1ccc(C(=O)NC(=O)C2C(c3ccc(C(C)C)cc3)NC(C)C2C)c(F)c1,0.0,unknown
Cc1ccc(C2NC(c3ccccc3)C(C)C2C(=O)Nc2ccoc2C)cc1,0.0,unknown
CC1NC(c2ccc(-c3ccccc3)cc2)C(C(=O)NS(C)(=O)=O)C1Cc1ccccc1,0.0,unknown
Cc1ccccc1-c1ccc(C2NC(C)C(C)C2C(=O)NC(N)=O)cc1,0.0,unknown
CC1NC(c2ccc(C3CC3)cc2)C(C(=O)NC(=O)c2ccc(F)cc2)C1C1CC1,0.0,unknown
Cc1ccc(C2NC(C)C(C3CCCC3)C2C(=O)Nc2cccc(C)c2)cc1,0.0,unknown
Cc1ccc(C(=O)NC(=O)C2C(c3ccc(C)cc3)NC(C)C2c2c[nH]cn2)cc1,0.0,unknown
CC(C)c1ccc(C2NC(C3CCCC3)C(C)C2C(=O)NC(=O)c2ccccc2)cc1,0.0,unknown
Cc1ccc(C2NC(c3ccc(C)cc3)C(C(=O)NC3CCCCN3)C2C)cc1,0.0,unknown
Cc1ccc(C2NC(c3ccc(=O)[nH]c3)C(C)C2C(=O)NC(=O)c2ccccc2)cc1,0.0,unknown
Cc1ccc(C2NC(c3cc[nH]c(=O)c3)C(C)C2C(=O)NC(=O)c2cccc(C)c2)cc1,0.0,unknown
CNC(=O)NC(=O)C1C(c2ccc(N(C)C)cc2)NC(C)C1C,0.0,unknown
CCC1C(C2CCC2)NC(c2ccc(N(C)C)cc2)C1C(=O)NC(=O)c1cccc(=O)cc1,0.0,unknown
CCCCNC(=O)C1C(c2ccc(C)cc2)NC(c2ccccc2)C1C,0.0,unknown
CCC1C(c2c(F)cccc2OC)NC(c2ccc(C)cc2)C1C(=O)NC(=O)C1CC1,0.0,unknown
CCc1ccc(C2NC(c3ccccc3C)C(C)C2C(=O)NC(=O)N2CCCCC2)cc1,0.0,unknown
Cc1ccc(C2NC(c3ccccc3C)C(C)C2C(=O)NCCO)cc1,0.0,unknown
CCCCc1ccc(C2NC(c3ccccc3)C(C)C2C(=O)NC2=NCCC2)cc1,0.0,unknown
Cc1ccc(C2NC(C)C(Cc3cccnc3)C2C(=O)NC(=O)c2ccccc2)cc1,0.0,unknown
CNC(=O)C1C(c2ccc(C)cc2)NC(N2CCCCC2)C1c1ccccn1,0.0,unknown
Cc1ccc(C2NC(C)C(C3CC(CO)C3)C2C(=O)NC(=O)c2ccc(F)cc2)cc1,0.0,unknown
CC(=O)NC(=O)C1C(c2ccc(C(C)C)cc2)NC(C)C1c1cccc(C)c1,0.0,unknown
Cc1ccc(C2NC(N)C(c3ccccc3)C2C(=O)NC(=O)c2cccc(Cl)c2)cc1,0.0,unknown
CCc1ccc(C2NC(C)C(c3ccccc3)C2C(=O)NC(=O)N2CCOCC2)cc1,0.0,unknown
Cc1ccc(C2NC(C(C)C)C(C)C2C(=O)Nc2ccc(C)c(C)c2)cc1,0.0,unknown
CC1NC(c2ccc(C3CC3)cc2)C(C(=O)NC(=O)c2cccc(F)c2)C1CC1CC1,0.0,unknown
Cc1ccc(C2NC(N)C(c3ccccc3)C2C(=O)NC(=O)c2ccc(C)cc2C)cc1,0.0,unknown
Cc1ccc(C2NC(N)C(c3cccc(Cl)c3)C2C(=O)NC(=O)c2ccccc2)cc1,0.0,unknown
CCCc1ccc(C2NC(C)C(C)C2C(=O)NC(=O)Cc2ccccc2C)cc1,0.0,unknown
CCC1NC(c2ccc(C)cc2)C(C(=O)NC(=O)c2ccc(C)cc2)C1CC(=O)N(C)C,0.0,unknown
CC(C)c1ccc(C2NC(C)C(C(C)C)C2C(=O)NC(=O)c2ccccc2)cc1,0.0,unknown
CCC1C(c2ccccc2Cl)NC(c2ccc(C)cc2)C1C(=O)NC(=O)N(C)C,0.0,unknown
CC1C(c2ccccc2)NC(c2ccc(N(C)C)cc2)C1C(=O)NC(N)=O,0.0,unknown
Cc1ccc(Cl)c(NC(=O)C2C(c3ccc(CC(C)C)cc3)NC(C)C2C(C)C)c1,0.0,unknown
CC(C)c1ccc(C2NC(C)C(C(C)C)C2C(=O)NC(=O)c2ccc(F)c(Cl)c2)cc1,0.0,unknown
CCc1ccc(C2NC(Cc3ccccc3C)C(C)C2C(=O)NC(C)=O)cc1,0.0,unknown
Cc1ccc(C2NC(c3cccn3C)C(C)C2C(=O)NC(=O)c2ccc(F)cc2)cc1,0.0,unknown
CCc1ccc(C2NC(c3ccccc3)C(C)C2C(=O)NC2CCC2)cc1,0.0,unknown
Cc1ccc(C2NC(c3ccc(C)cc3)C(C(=O)NC3=NC(=O)CCC3)C2C)cc1,0.0,unknown
COc1ccc(C2NC(c3ccc(C)cc3)C(C(=O)NC(=O)C(=O)N3CCCCC3)C2C)cc1C,0.0,unknown
Cc1ccc(C2NC(c3cccc(=O)cc3)C(C)C2C(=O)NC(=O)N(C)C)cc1,0.0,unknown
CC1NC(c2ccc(-c3ccccc3)cc2)C(C(=O)NC(=O)C2C=CC=CC2=O)C1C,0.0,unknown
Cc1ccc(C2NC(C)C(c3cccc(Cl)c3)C2C(=O)NC(=O)N2CCN(C)C(=O)C2)cc1,0.0,unknown
CSc1ccccc1C(=O)NC(=O)C1C(c2ccc(C(C)C)cc2)NC(C)C1C,0.0,unknown
Cc1ccc(C2NC(c3ccco3)C(C)C2C(=O)NCC(=O)N2CCN(C)CC2)cc1,0.0,unknown
CC(C)Cc1ccc(C2NC(C)C(C(C)C)C2C(=O)NC(=O)Nc2ccccc2)cc1,0.0,unknown
Cc1ccc(C2NC(c3cc(C)ccc3C)C(N)C2C(=O)NC(=O)c2ccccc2)cc1,0.0,unknown
