SMILES,Comment,RDKit_SMILES (REINVENT),Score,DENV_Activity,Stereo_Centers,QED,SA,MW,Heavy_Atoms,LogP,TPSA,HBA,HBD,Rotatable_Bonds,Ring_Count,Aromatic_Rings,Stability_Alerts,DENV_Activity (raw),Stereo_Centers (raw),QED (raw),SA (raw),MW (raw),Heavy_Atoms (raw),LogP (raw),TPSA (raw),HBA (raw),HBD (raw),Rotatable_Bonds (raw),Ring_Count (raw),Aromatic_Rings (raw),Stability_Alerts (raw),matchting_patterns (Stability_Alerts)
Cc1ccc(C2NC(C)C(CC3CCC3)C2C(=O)NC(=O)c2ccccc2)cc1,,Cc1ccc(C2NC(C)C(CC3CCC3)C2C(=O)NC(=O)c2ccccc2)cc1,0.5195720144702165,0.96946317,0.0,0.7438460097483172,0.0037876368,0.9997608,0.87800205,0.08762407,0.99977094,0.9693466,0.1279931,0.07820028,0.0031523108,0.5,1.0,7.6484637,4.0,0.7438460097483172,3.5969939331534615,390.52700000000004,29.0,4.407020000000004,58.2,3.0,2.0,5.0,4.0,2.0,1.0,[]
Cc1ccc(C(=O)NC(=O)C2C(c3ccc(C(C)C)cc3)NC(C)C2C)c(F)c1,,Cc1ccc(C(=O)NC(=O)C2C(c3ccc(C(C)C)cc3)NC(C)C2C)c(F)c1,0.5517311710692239,0.9720055,0.0,0.7484125664947251,0.002765119,0.9998621,0.87800205,0.053466976,0.99977094,0.9693466,0.1279931,0.3052647,0.5,0.5,1.0,7.6134644,4.0,0.7484125664947251,3.644974703571682,396.5060000000001,29.0,4.499220000000004,58.2,3.0,2.0,4.0,3.0,2.0,1.0,[]
Cc1ccc(C2NC(c3ccccc3)C(C)C2C(=O)Nc2ccoc2C)cc1,,Cc1ccc(C2NC(c3ccccc3)C(C)C2C(=O)Nc2ccoc2C)cc1,0.5073162932136932,0.9820852,0.0,0.6620544423987765,0.0029226542,0.9989524,0.90909094,0.0011665225,0.99860233,0.9693466,0.1279931,0.3052647,0.0031523108,0.0031523108,1.0,7.4349566,4.0,0.6620544423987765,3.636529281435612,374.4840000000001,28.0,5.173040000000004,54.27,3.0,2.0,4.0,4.0,3.0,1.0,[]
CC1NC(c2ccc(-c3ccccc3)cc2)C(C(=O)NS(C)(=O)=O)C1Cc1ccccc1,,CC1NC(c2ccc(-c3ccccc3)cc2)C(C(=O)NS(C)(=O)=O)C1Cc1ccccc1,0.5015302462460133,0.97205347,0.0,0.5990613353575688,0.004782796,0.9912959,0.72845984,0.5892656,0.9999887,0.7597469,0.1279931,0.01611495,0.0031523108,0.0031523108,1.0,7.6127744,4.0,0.5990613353575688,3.561381072152825,448.5880000000002,32.0,3.937300000000003,75.27000000000001,4.0,2.0,6.0,4.0,3.0,1.0,[]
Cc1ccccc1-c1ccc(C2NC(C)C(C)C2C(=O)NC(N)=O)cc1,,Cc1ccccc1-c1ccc(C2NC(C)C(C)C2C(=O)NC(N)=O)cc1,0.6264467995024982,0.97887546,0.0,0.7941237929403662,0.0042458773,0.99132603,0.87800205,0.9928887,0.99930227,0.9693466,0.0031523108,0.69473535,0.5,0.5,1.0,7.5006537,4.0,0.7941237929403662,3.579562957005841,351.4500000000001,26.0,3.1420200000000005,84.22,3.0,3.0,3.0,3.0,2.0,1.0,[]
CC1NC(c2ccc(C3CC3)cc2)C(C(=O)NC(=O)c2ccc(F)cc2)C1C1CC1,,CC1NC(c2ccc(C3CC3)cc2)C(C(=O)NC(=O)c2ccc(F)cc2)C1C1CC1,0.5181322673295031,0.96755403,0.0,0.7267346730540031,0.0024257302,0.999818,0.838174,0.12699002,0.99977094,0.9693466,0.1279931,0.07820028,1.001358e-05,0.5,1.0,7.6729374,4.0,0.7267346730540031,3.6649379947858662,406.50100000000015,30.0,4.334900000000004,58.2,3.0,2.0,5.0,5.0,2.0,1.0,[]
Cc1ccc(C2NC(C)C(C3CCCC3)C2C(=O)Nc2cccc(C)c2)cc1,,Cc1ccc(C2NC(C)C(C3CCCC3)C2C(=O)Nc2cccc(C)c2)cc1,0.5107240343170871,0.9667268,0.0,0.7502243257350768,0.006936729,0.9991333,0.90909094,0.000320673,0.6272377,0.9968477,0.1279931,0.3052647,0.0031523108,0.5,1.0,7.683112,4.0,0.7502243257350768,3.5045373583586885,376.54400000000004,28.0,5.397540000000005,41.13,2.0,2.0,4.0,4.0,2.0,1.0,[]
Cc1ccc(C(=O)NC(=O)C2C(c3ccc(C)cc3)NC(C)C2c2c[nH]cn2)cc1,,Cc1ccc(C(=O)NC(=O)C2C(c3ccc(C)cc3)NC(C)C2c2c[nH]cn2)cc1,0.5353073463496244,0.96802396,0.0,0.5838358583877619,0.0004233718,0.9998742,0.838174,0.96649945,0.9976288,0.7597469,0.0031523108,0.3052647,0.0031523108,0.0031523108,1.0,7.6670446,4.0,0.5838358583877619,3.9305667989229045,402.49800000000005,30.0,3.4159400000000018,86.88000000000001,4.0,3.0,4.0,4.0,3.0,1.0,[]
CC(C)c1ccc(C2NC(C3CCCC3)C(C)C2C(=O)NC(=O)c2ccccc2)cc1,,CC(C)c1ccc(C2NC(C3CCCC3)C(C)C2C(=O)NC(=O)c2ccccc2)cc1,0.5023746161277131,0.9660038,0.0,0.6545015922768181,0.0033863187,0.99944663,0.78847593,0.000880301,0.99977094,0.9693466,0.1279931,0.07820028,0.0031523108,0.5,1.0,7.6918063,4.0,0.6545015922768181,3.614078779536187,418.5810000000001,31.0,5.222000000000005,58.2,3.0,2.0,5.0,4.0,2.0,1.0,[]
Cc1ccc(C2NC(c3ccc(C)cc3)C(C(=O)NC3CCCCN3)C2C)cc1,,Cc1ccc(C2NC(c3ccc(C)cc3)C(C(=O)NC3CCCCN3)C2C)cc1,0.5352310551509575,0.9685569,0.0,0.7336113811298469,0.00048613548,0.9997825,0.87800205,0.2881124,0.997672,0.9693466,0.0031523108,0.3052647,0.0031523108,0.5,1.0,7.6602607,5.0,0.7336113811298469,3.909560350690051,391.5590000000002,29.0,4.157140000000003,53.160000000000004,3.0,3.0,4.0,4.0,2.0,1.0,[]
