SMILES,Comment,RDKit_SMILES (REINVENT),Score,DENV_Activity,Stereo_Centers,QED,SA,MW,Heavy_Atoms,LogP,TPSA,HBA,HBD,Rotatable_Bonds,Ring_Count,Aromatic_Rings,Stability_Alerts,DENV_Activity (raw),Stereo_Centers (raw),QED (raw),SA (raw),MW (raw),Heavy_Atoms (raw),LogP (raw),TPSA (raw),HBA (raw),HBD (raw),Rotatable_Bonds (raw),Ring_Count (raw),Aromatic_Rings (raw),Stability_Alerts (raw),matchting_patterns (Stability_Alerts),IC50_nM
Cc1ccc(C2NC(C)C(c3ccccc3C)C2C(=O)NCC2CCNCC2)cc1,,Cc1ccc(C2NC(C)C(c3ccccc3C)C2C(=O)NCC2CCNCC2)cc1,0.5312912606307179,0.90268713,0.0,0.7081868069120066,0.0018681884,0.99983275,0.838174,0.70092905,0.997672,0.9693466,0.0031523108,0.07820028,0.0031523108,0.5,1.0,8.12937,4.0,0.7081868069120066,3.704712106720443,405.5860000000002,30.0,3.8520400000000015,53.16,3.0,3.0,5.0,4.0,2.0,1.0,[],7.423863875003057
Cc1ccc(C2NC(C)C(CC3CCNCC3)C2C(=O)NC(=O)c2ccc(F)cc2)cc1,,Cc1ccc(C2NC(C)C(CC3CCNCC3)C2C(=O)NC(=O)c2ccc(F)cc2)cc1,0.5197094016748764,0.9295541,0.0,0.6234747001019171,0.001075685,0.9968306,0.72845984,0.8121939,0.99999887,0.7597469,0.0031523108,0.07820028,0.0031523108,0.5,1.0,7.991623,4.0,0.6234747001019171,3.788757741637188,437.5590000000001,32.0,3.7456200000000015,70.22999999999999,4.0,3.0,5.0,4.0,2.0,1.0,[],10.194759852381694
Cc1cccc(-c2ccc(C3NC(C)C(C)C3C(=O)NC3CCNCC3)cc2)c1,,Cc1cccc(-c2ccc(C3NC(C)C(C)C3C(=O)NC3CCNCC3)cc2)c1,0.5561048505845108,0.93372434,0.0,0.7427489053649137,0.0026385188,0.9997825,0.87800205,0.74328315,0.997672,0.9693466,0.0031523108,0.3052647,0.0031523108,0.5,1.0,7.966022,4.0,0.7427489053649137,3.652122925671376,391.55900000000014,29.0,3.8153200000000016,53.16,3.0,3.0,4.0,4.0,2.0,1.0,[],10.813791706241622
CC1NC(c2ccc(-c3ccccc3)cc2)C(C(=O)NC2CCNCC2)C1C,,CC1NC(c2ccc(-c3ccccc3)cc2)C(C(=O)NC2CCNCC2)C1C,0.5727307304777174,0.93806446,0.0,0.764293539038823,0.0044938326,0.9992086,0.90909094,0.94472176,0.997672,0.9693466,0.0031523108,0.3052647,0.0031523108,0.5,1.0,7.9377365,4.0,0.764293539038823,3.5709010549398847,377.5320000000002,28.0,3.5069000000000017,53.16,3.0,3.0,4.0,4.0,2.0,1.0,[],11.54153306217179
CCCC1C(c2ccccc2)NC(c2ccc(C)cc2)C1C(=O)NC1CCNCC1,,CCCC1C(c2ccccc2)NC(c2ccc(C)cc2)C1C(=O)NC1CCNCC1,0.5021959485406824,0.94359756,0.0,0.6722903894065724,0.0024442673,0.99983275,0.838174,0.16528648,0.997672,0.9693466,0.0031523108,0.01611495,0.0031523108,0.5,1.0,7.89886,4.0,0.6722903894065724,3.663774144842705,405.5860000000002,30.0,4.281320000000002,53.16,3.0,3.0,6.0,4.0,2.0,1.0,[],12.622343652984611
Cc1ccc(C2NC(C)C(c3ccc(Cl)cc3)C2C(=O)NC2CCNCC2)cc1,,Cc1ccc(C2NC(C)C(c3ccc(Cl)cc3)C2C(=O)NC2CCNCC2)cc1,0.5457711290385739,0.944306,0.0,0.7135664410990439,0.0026119351,0.99969876,0.87800205,0.5722806,0.997672,0.9693466,0.0031523108,0.3052647,0.0031523108,0.5,1.0,7.893626,4.0,0.7135664410990439,3.653664352918828,411.9770000000002,29.0,3.9494200000000017,53.16,3.0,3.0,4.0,4.0,2.0,1.0,[],12.775385090120556
Cc1ccc(C2NC(C)C(c3ccccc3)C2C(=O)NC2CCNCC2)cc1,,Cc1ccc(C2NC(C)C(c3ccccc3)C2C(=O)NC2CCNCC2)cc1,0.5766848314539903,0.94468623,0.0,0.7663256989620948,0.003618598,0.9992086,0.90909094,0.9829169,0.997672,0.9693466,0.0031523108,0.3052647,0.0031523108,0.5,1.0,7.890791,4.0,0.7663256989620948,3.603959174598005,377.53200000000015,28.0,3.2960200000000013,53.16,3.0,3.0,4.0,4.0,2.0,1.0,[],12.859053405164952
CC(=O)NC(=O)C1C(c2ccc(C3CCNCC3)cc2)NC(C)C1C,,CC(=O)NC(=O)C1C(c2ccc(C3CCNCC3)cc2)NC(C)C1C,0.6180569763580657,0.9451969,0.0,0.7860352508784524,0.000572145,0.98208123,0.838174,0.99823904,0.99999887,0.7597469,0.0031523108,0.69473535,0.5,0.9968477,1.0,7.8869543,4.0,0.7860352508784524,3.884808385037504,343.471,25.0,2.101399999999999,70.23,4.0,3.0,3.0,3.0,1.0,1.0,[],12.973157779263255
Cc1cccc(C2C(C)NC(c3ccc(C4CC4)cc3)C2C(=O)NC2CCNCC2)c1,,Cc1cccc(C2C(C)NC(c3ccc(C4CC4)cc3)C2C(=O)NC2CCNCC2)c1,0.510230581524366,0.94547194,0.0,0.6842964736801984,0.001069963,0.99949455,0.78847593,0.26927865,0.997672,0.9693466,0.0031523108,0.07820028,1.001358e-05,0.5,1.0,7.8848743,4.0,0.6842964736801984,3.7895672705395658,417.5970000000002,31.0,4.173420000000003,53.16,3.0,3.0,5.0,5.0,2.0,1.0,[],13.035440150487902
Cc1ccc(C2NC(C3CCNCC3)C(C(C)C)C2C(=O)NC2Cc3ccccc3C2)cc1,,Cc1ccc(C2NC(C3CCNCC3)C(C(C)C)C2C(=O)NC2Cc3ccccc3C2)cc1,0.5005367480952339,0.9455247,0.0,0.6472022091579567,0.0003477335,0.99334514,0.65878433,0.2624253,0.997672,0.9693466,0.0031523108,0.07820028,1.001358e-05,0.5,1.0,7.8844743,4.0,0.6472022091579567,3.960517731563781,445.6510000000002,33.0,4.179520000000003,53.16,3.0,3.0,5.0,5.0,2.0,1.0,[],13.047451765260252
