SMILES,Comment,RDKit_SMILES (REINVENT),Score,DENV_Activity,Stereo_Centers,QED,SA,MW,Heavy_Atoms,LogP,TPSA,HBA,HBD,Rotatable_Bonds,Ring_Count,Aromatic_Rings,Stability_Alerts,DENV_Activity (raw),Stereo_Centers (raw),QED (raw),SA (raw),MW (raw),Heavy_Atoms (raw),LogP (raw),TPSA (raw),HBA (raw),HBD (raw),Rotatable_Bonds (raw),Ring_Count (raw),Aromatic_Rings (raw),Stability_Alerts (raw),matchting_patterns (Stability_Alerts),IC50_nM
CNC(=O)C1C(c2ccc(C)cc2)NC(C)C1c1ccncc1,,CNC(=O)C1C(c2ccc(C)cc2)NC(C)C1c1ccncc1,0.6166608809818543,0.9761744,0.0,0.9160318089975784,0.003089726,0.7041146,0.7284598,0.9997358,0.9984321,0.9693466,0.1279931,0.69473535,0.5,0.5,1.0,7.548764,4.0,0.9160318089975784,3.628055400279327,309.413,23.0,2.5688200000000005,54.02,3.0,2.0,3.0,3.0,2.0,1.0,[],28.264154603357078
CNC(=O)C1C(c2ccc(C)cc2)NC(C)C1c1ccco1,,CNC(=O)C1C(c2ccc(C)cc2)NC(C)C1c1ccco1,0.5990929913106435,0.97898203,0.0,0.9158888704846726,0.0018046498,0.46290424,0.65878433,0.99917454,0.99860233,0.9693466,0.1279931,0.69473535,0.5,0.5,1.0,7.4986343,4.0,0.9158888704846726,3.7099910058703767,298.386,22.0,2.766820000000001,54.27,3.0,2.0,3.0,3.0,2.0,1.0,[],31.722375383594525
Cc1ccc(C2NC(C)C(C)C2C(=O)Nc2ncccn2)cc1,,Cc1ccc(C2NC(C)C(C)C2C(=O)Nc2ncccn2)cc1,0.604947996982549,0.97647715,0.0,0.914521539939157,0.0034710765,0.7227147,0.7284598,0.9994087,0.9999958,0.7597469,0.1279931,0.69473535,0.5,0.5,1.0,7.5436454,4.0,0.914521539939157,3.6103088914035872,310.401,23.0,2.708820000000001,66.91,4.0,2.0,3.0,3.0,2.0,1.0,[],28.599247093388943
Cc1ccc(C2NC(C)C(C)C2C(=O)Nc2cnccn2)cc1,,Cc1ccc(C2NC(C)C(C)C2C(=O)Nc2cnccn2)cc1,0.6050996641931795,0.97749734,0.0,0.914521539939157,0.0025636554,0.7227147,0.7284598,0.9994087,0.9999958,0.7597469,0.1279931,0.69473535,0.5,0.5,1.0,7.525907,4.0,0.914521539939157,3.65651031152193,310.401,23.0,2.708820000000001,66.91,4.0,2.0,3.0,3.0,2.0,1.0,[],29.79154318465919
Cc1ccc(C2NC(C)C(C)C2C(=O)Nc2cccnc2)cc1,,Cc1ccc(C2NC(C)C(C)C2C(=O)Nc2cccnc2)cc1,0.6151280714212435,0.9728396,0.0,0.9143117714341452,0.008672893,0.7041146,0.7284598,0.9811085,0.9984321,0.9693466,0.1279931,0.69473535,0.5,0.5,1.0,7.601306,4.0,0.9143117714341452,3.470317885486427,309.413,23.0,3.313820000000001,54.02,3.0,2.0,3.0,3.0,2.0,1.0,[],25.04344092842086
Cc1ccc(C2NC(C)C(C)C2C(=O)Nc2ccccn2)cc1,,Cc1ccc(C2NC(C)C(C)C2C(=O)Nc2ccccn2)cc1,0.615985905031128,0.97677743,0.0,0.9143117714341452,0.0081214905,0.7041146,0.7284598,0.9811085,0.9984321,0.9693466,0.1279931,0.69473535,0.5,0.5,1.0,7.5385036,4.0,0.9143117714341452,3.4803872345988527,309.413,23.0,3.313820000000001,54.02,3.0,2.0,3.0,3.0,2.0,1.0,[],28.939858278305554
CNC(=O)C1C(c2ccc(C)cc2)NC(c2ccoc2C)C1C,,CNC(=O)C1C(c2ccc(C)cc2)NC(c2ccoc2C)C1C,0.6188297723189385,0.97669405,0.0,0.9142655513970772,0.00080770254,0.7582812,0.7284598,0.98436826,0.99860233,0.9693466,0.1279931,0.69473535,0.5,0.5,1.0,7.5399375,4.0,0.9142655513970772,3.832342952054475,312.41300000000007,23.0,3.2803400000000016,54.27,3.0,2.0,3.0,3.0,2.0,1.0,[],28.84446578489641
CNC(=O)C1C(c2ccc(C)cc2)NC(C)C1c1ccccc1,,CNC(=O)C1C(c2ccc(C)cc2)NC(C)C1c1ccccc1,0.6004277466916687,0.9766622,0.0,0.914200974719662,0.01317817,0.68481094,0.7284598,0.9914723,0.6272377,0.9968477,0.1279931,0.69473535,0.5,0.5,1.0,7.540484,4.0,0.914200974719662,3.4060333884450085,308.425,23.0,3.173820000000002,41.13,2.0,2.0,3.0,3.0,2.0,1.0,[],28.808191811208502
CNC(=O)C1C(c2ccc(C)cc2)NC(c2cc(C)on2)C1C,,CNC(=O)C1C(c2ccc(C)cc2)NC(c2cc(C)on2)C1C,0.6077603300406856,0.9760993,0.0,0.9140303512649312,0.00065487623,0.77456635,0.7284598,0.9995123,0.9999963,0.7597469,0.1279931,0.69473535,0.5,0.5,1.0,7.550025,4.0,0.9140303512649312,3.864234538592937,313.401,23.0,2.675340000000001,67.16,4.0,2.0,3.0,3.0,2.0,1.0,[],28.182206967708872
Cc1ccc(C2NC(C)C(C)C2C(=O)Nc2nccs2)cc1,,Cc1ccc(C2NC(C)C(C)C2C(=O)Nc2nccs2)cc1,0.6043513843425965,0.97382385,0.0,0.912794345114533,0.0027887225,0.8056924,0.65878433,0.9732979,0.9984321,0.7597469,0.1279931,0.69473535,0.5,0.5,1.0,7.586483,4.0,0.912794345114533,3.643681328451021,315.442,22.0,3.375320000000001,54.02,4.0,2.0,3.0,3.0,2.0,1.0,[],25.912958529158736
