SMILES,Comment,RDKit_SMILES (REINVENT),Score,DENV_Activity,Stereo_Centers,QED,SA,MW,Heavy_Atoms,LogP,TPSA,HBA,HBD,Rotatable_Bonds,Ring_Count,Aromatic_Rings,Stability_Alerts,DENV_Activity (raw),Stereo_Centers (raw),QED (raw),SA (raw),MW (raw),Heavy_Atoms (raw),LogP (raw),TPSA (raw),HBA (raw),HBD (raw),Rotatable_Bonds (raw),Ring_Count (raw),Aromatic_Rings (raw),Stability_Alerts (raw),matchting_patterns (Stability_Alerts),IC50_nM
Cc1ccc(C2NC(C)C(C)C2C(=O)Nc2ccccc2)cc1,,Cc1ccc(C2NC(C)C(C)C2C(=O)Nc2ccccc2)cc1,0.5768185210890776,0.9701254,0.0,0.902112781641032,0.034977376,0.68481094,0.7284598,0.6147469,0.6272377,0.9968477,0.1279931,0.69473535,0.5,0.5,1.0,7.6396275,4.0,0.902112781641032,3.254262500871044,308.425,23.0,3.918820000000003,41.13,2.0,2.0,3.0,3.0,2.0,1.0,[],22.928334025177328
Cc1ccc(C2NC(c3ccccc3)C(N)C2C(=O)Nc2ccccc2)cc1,,Cc1ccc(C2NC(c3ccccc3)C(N)C2C(=O)Nc2ccccc2)cc1,0.5327175993640387,0.9621065,0.0,0.6501837506535562,0.031796932,0.99861944,0.90909094,0.55330294,0.9999963,0.9693466,0.0031523108,0.3052647,0.0031523108,0.0031523108,1.0,7.7358074,4.0,0.6501837506535562,3.269253191692022,371.484,28.0,3.9628200000000016,67.14999999999999,3.0,3.0,4.0,4.0,3.0,1.0,[],18.373529881208796
CC1NC(c2ccc(-c3ccccc3)cc2)C(C(=O)Nc2ccccc2)C1N,,CC1NC(c2ccc(-c3ccccc3)cc2)C(C(=O)Nc2ccccc2)C1N,0.5316285715712087,0.9599547,0.0,0.6500527671805542,0.030979514,0.99861944,0.90909094,0.5450655,0.9999963,0.9693466,0.0031523108,0.3052647,0.0031523108,0.0031523108,1.0,7.758271,4.0,0.6500527671805542,3.273340371179202,371.4840000000001,28.0,3.968600000000001,67.15,3.0,3.0,4.0,4.0,3.0,1.0,[],17.447330987396178
COc1ccc(NC(=O)C2C(c3ccc(C)cc3)NC(C)C2C)cc1,,COc1ccc(NC(=O)C2C(c3ccc(C)cc3)NC(C)C2C)cc1,0.594330521768659,0.9699367,0.0,0.8880151565698321,0.029445529,0.97184485,0.838174,0.60295784,0.99159884,0.9693466,0.1279931,0.3052647,0.5,0.5,1.0,7.6421638,4.0,0.8880151565698321,3.2813000333891527,338.4510000000001,25.0,3.9274200000000015,50.36,3.0,2.0,4.0,3.0,2.0,1.0,[],22.794821725157153
Cc1ccc(C2NC(C)C(C)C2C(=O)NCc2ccccc2)cc1,,Cc1ccc(C2NC(C)C(C)C2C(=O)NCc2ccccc2)cc1,0.5912791431300258,0.96771514,0.0,0.902901437087964,0.02911675,0.88774437,0.78847593,0.910733,0.6272377,0.9968477,0.1279931,0.3052647,0.5,0.5,1.0,7.670926,4.0,0.902901437087964,3.28305823985799,322.452,24.0,3.5965200000000026,41.13,2.0,2.0,4.0,3.0,2.0,1.0,[],21.334083964019477
CCc1ccc(C2NC(C)C(C)C2C(=O)Nc2ccccc2)cc1,,CCc1ccc(C2NC(C)C(C)C2C(=O)Nc2ccccc2)cc1,0.5506199210379087,0.96806383,0.0,0.8866896267323405,0.028447688,0.88774437,0.78847593,0.26998132,0.6272377,0.9968477,0.1279931,0.3052647,0.5,0.5,1.0,7.6665406,4.0,0.8866896267323405,3.286696927640796,322.452,24.0,4.172800000000003,41.13,2.0,2.0,4.0,3.0,2.0,1.0,[],21.550601684464706
Cc1ccc(NC(=O)C2C(c3ccc(C)cc3)NC(C)C2C)cc1,,Cc1ccc(NC(=O)C2C(c3ccc(C)cc3)NC(C)C2C)cc1,0.5663086739387257,0.97340053,0.0,0.8877834221526237,0.02753812,0.88774437,0.78847593,0.21280509,0.6272377,0.9968477,0.1279931,0.69473535,0.5,0.5,1.0,7.592923,4.0,0.8877834221526237,3.291778642370315,322.4520000000001,24.0,4.227240000000004,41.13,2.0,2.0,3.0,3.0,2.0,1.0,[],25.531539343070534
Cc1ccc(C2NC(c3ccccc3)C(C(N)=O)C2C(=O)Nc2ccccc2)cc1,,Cc1ccc(C2NC(c3ccccc3)C(C(N)=O)C2C(=O)Nc2ccccc2)cc1,0.5309312105359214,0.9580962,0.0,0.6110861351458349,0.025988162,0.9998952,0.838174,0.8196288,0.99930227,0.9693466,0.0031523108,0.07820028,0.0031523108,0.0031523108,1.0,7.77676,4.0,0.6110861351458349,3.30082623909969,399.4940000000001,30.0,3.737020000000001,84.22,3.0,3.0,5.0,4.0,3.0,1.0,[],16.720143483253516
Cc1ccc(C2NC(C)C(C)C2C(=O)Nc2ccc(Cl)cc2)cc1,,Cc1ccc(C2NC(C)C(C)C2C(=O)Nc2ccc(Cl)cc2)cc1,0.5587896619967547,0.9742856,0.0,0.8572796512427767,0.025082529,0.9810807,0.78847593,0.03577888,0.6272377,0.9968477,0.1279931,0.69473535,0.5,0.5,1.0,7.579341,4.0,0.8572796512427767,3.306358435711301,342.87,24.0,4.572220000000003,41.13,2.0,2.0,3.0,3.0,2.0,1.0,[],26.342621995989987
Cc1ccc(C2NC(C)C(C)C2C(=O)Nc2ccccc2C)cc1,,Cc1ccc(C2NC(C)C(C)C2C(=O)Nc2ccccc2C)cc1,0.5674046271619615,0.97945386,0.0,0.8877834221526237,0.024277627,0.88774437,0.78847593,0.21280509,0.6272377,0.9968477,0.1279931,0.69473535,0.5,0.5,1.0,7.4895716,4.0,0.8877834221526237,3.311442247421981,322.45200000000006,24.0,4.227240000000003,41.13,2.0,2.0,3.0,3.0,2.0,1.0,[],32.391301608313455
