Agent,Prior,Target,Score,SMILES,SMILES_state,Input_Scaffold,R-groups,Scaffold,DENV_Activity,DENV_Activity (raw),Stereo_Centers,Stereo_Centers (raw),QED,QED (raw),SA,SA (raw),MW,MW (raw),Heavy_Atoms,Heavy_Atoms (raw),LogP,LogP (raw),TPSA,TPSA (raw),HBA,HBA (raw),HBD,HBD (raw),Rotatable_Bonds,Rotatable_Bonds (raw),Ring_Count,Ring_Count (raw),Aromatic_Rings,Aromatic_Rings (raw),Stability_Alerts,Stability_Alerts (raw),Toxicity_Alerts,Toxicity_Alerts (raw),PAINS_Filter,PAINS_Filter (raw),Metabolic_Stability,Metabolic_Stability (raw),matchting_patterns (Stability_Alerts),matchting_patterns (Toxicity_Alerts),matchting_patterns (PAINS_Filter),matchting_patterns (Metabolic_Stability),step,IC50_nM
17.4616,23.7881,85.1506,0.7262579,CN1C(c2ccccc2)CC(C(=O)NCC2CCNC2)C1c1ccccc1,1,c1ccccc1C1N([*])C(c2ccccc2)C(C(=O)N[*])C1,*C|C1(C*)CCNC1,O=C(NCC1CCNC1)C1CC(c2ccccc2)NC1c1ccccc1,0.8828543,8.0132,0.0,4.0,0.8577347,0.8577,0.2871893,3.4721,0.9985487,363.505,0.9090909,27.0,0.9998038,3.1464,0.995989,44.37,0.97891,3.0,0.5,2.0,0.3453354,5.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],80,9.700631337839582
9.7118,19.753,88.5405,0.721957,CN1C(c2ccccc2)CC(C(=O)NCC2CCNCC2)C1c1ccccc1,1,c1ccccc1C1N([*])C(c2ccccc2)C(C(=O)N[*])C1,*C|C1CNCCC1C*,O=C(NCC1CCNCC1)C1CC(c2ccccc2)NC1c1ccccc1,0.848358,8.1588,1e-05,3.0,0.837729,0.8377,0.4317858,3.3171,0.9993523,377.532,0.9281377,28.0,0.9988183,3.5365,0.995989,44.37,0.97891,3.0,0.5,2.0,0.3453354,5.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],153,6.937452139421242
12.3814,18.4902,88.3506,0.7122718,CN1C(c2ccccc2)CC(C(=O)NCC2CCNC2)C1c1ccncc1,1,c1ccccc1C1N([*])C(c2ccncc2)C(C(=O)N[*])C1,*C|C1CNCC1C*,O=C(NCC1CCNC1)C1CC(c2ccccc2)NC1c1ccncc1,0.8826522,8.0141,0.0,4.0,0.8560813,0.8561,0.1601843,3.6548,0.9986289,364.493,0.9090909,27.0,0.9999174,2.5414,0.9999714,57.26,0.8720069,4.0,0.5,2.0,0.3453354,5.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],214,9.680549277120633
11.8977,20.6309,86.1206,0.7116767,CN1C(c2cccnc2)CC(C(=O)NCC2CCNC2)C1c1ccccc1,1,c1ccncc1C1N([*])C(c2ccccc2)C(C(=O)N[*])C1,C*|C1CNCC1C*,O=C(NCC1CCNC1)C1CC(c2cccnc2)NC1c1ccccc1,0.8797276,8.0278,0.0,4.0,0.8560813,0.8561,0.1695792,3.6381,0.9986289,364.493,0.9090909,27.0,0.9999174,2.5414,0.9999714,57.26,0.8720069,4.0,0.5,2.0,0.3453354,5.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],694,9.379938696184905
15.5474,25.7424,80.9728,0.7114344,CN1C(c2ccccc2)CC(C(=O)NCC2CCCNCC2)C1c1ccccc1,1,c1ccccc1C1N([*])C(c2ccccc2)C(C(=O)N[*])C1,C*|C1C(C*)CCNCC1,O=C(NCC1CCCNCC1)C1CC(c2ccccc2)NC1c1ccccc1,0.8485853,8.1579,0.0,4.0,0.8117805,0.8118,0.2927817,3.4654,0.999711,391.559,0.9434421,29.0,0.9929187,3.9266,0.995989,44.37,0.97891,3.0,0.5,2.0,0.3453354,5.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],1434,6.951843712782469
13.6805,31.8166,74.8969,0.7114231,O=C(NCC1CCNC1)C1CC(c2ccccc2)N(C(=O)N2CCCC2)C1c1ccccc1,1,c1ccccc1C1N([*])C(c2ccccc2)C(C(=O)N[*])C1,C1CCN(C(=O)*)C1|C1CNCC1C*,O=C(NCC1CCNC1)C1CC(c2ccccc2)N(C(=O)N2CCCC2)C1c1ccccc1,0.8844742,8.0055,0.0,4.0,0.7356223,0.7356,0.1589128,3.6571,0.9998538,446.595,0.955643,33.0,0.9970924,3.7324,0.9999983,64.68,0.97891,3.0,0.5,2.0,0.3453354,5.0,0.0031523,5.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],168,9.874156357468665
17.3682,20.2981,86.3602,0.7110554,CN1C(c2ccccc2)CC(C(=O)NCC2CCNC2)C1c1cccnc1,1,c1ccccc1C1N([*])C(c2cccnc2)C(C(=O)N[*])C1,C*|C(*)C1CNCC1,O=C(NCC1CCNC1)C1CC(c2ccccc2)NC1c1cccnc1,0.8788158,8.032,0.0,4.0,0.8560813,0.8561,0.1665388,3.6434,0.9986289,364.493,0.9090909,27.0,0.9999174,2.5414,0.9999714,57.26,0.8720069,4.0,0.5,2.0,0.3453354,5.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],1134,9.289663867799362
16.506,27.6139,78.7053,0.7087948,CCNC(=O)C1CC(c2cccnc2)N(C2CCCNCC2)C1c1ccccc1,1,c1ccncc1C1N([*])C(c2ccccc2)C(C(=O)N[*])C1,C1CCC(*)CCN1|C(C)*,c1ccc(C2CCC(c3cccnc3)N2C2CCCNCC2)cc1,0.8773417,8.0387,0.0,4.0,0.8181583,0.8182,0.1390459,3.6954,0.999727,392.547,0.9434421,29.0,0.9991531,3.4641,0.9999714,57.26,0.8720069,4.0,0.5,2.0,0.3453354,5.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],645,9.147449066714984
13.1069,25.5095,80.8003,0.7087322,CN1C(c2cccs2)CC(C(=O)NCC2CCNC2)C1c1ccccc1,1,c1ccsc1C1N([*])C(c2ccccc2)C(C(=O)N[*])C1,*C|C1(C*)CCNC1,O=C(NCC1CCNC1)C1CC(c2cccs2)NC1c1ccccc1,0.8822951,8.0158,0.0,4.0,0.8506123,0.8506,0.1372484,3.6991,0.9989738,369.534,0.8856181,26.0,0.9997396,3.2079,0.995989,44.37,0.8720069,4.0,0.5,2.0,0.3453354,5.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],196,9.642729855105237
16.0405,33.7007,72.5549,0.7083712,CN(C)C(=O)N1C(c2cccnc2)CC(C(=O)NCC2CCNC2)C1c1ccccc1,1,c1ccncc1C1N([*])C(c2ccccc2)C(C(=O)N[*])C1,CN(C)C(=O)*|C1CNCC1C*,O=C(NCC1CCNC1)C1CC(c2cccnc2)NC1c1ccccc1,0.8855915,8.0001,0.0,4.0,0.7780424,0.778,0.0896183,3.8163,0.9999485,421.545,0.9653086,31.0,0.9999349,2.5932,0.9999999,77.57,0.8720069,4.0,0.5,2.0,0.3453354,5.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],1510,9.99769767998157
