Agent,Prior,Target,Score,SMILES,SMILES_state,Input_Scaffold,R-groups,Scaffold,DENV_Activity,DENV_Activity (raw),Stereo_Centers,Stereo_Centers (raw),QED,QED (raw),SA,SA (raw),MW,MW (raw),Heavy_Atoms,Heavy_Atoms (raw),LogP,LogP (raw),TPSA,TPSA (raw),HBA,HBA (raw),HBD,HBD (raw),Rotatable_Bonds,Rotatable_Bonds (raw),Ring_Count,Ring_Count (raw),Aromatic_Rings,Aromatic_Rings (raw),Stability_Alerts,Stability_Alerts (raw),matchting_patterns (Stability_Alerts),step,IC50_nM
14.2922,23.789,47.972,0.5980088,Cc1ccc(C2NC(C)C(C)C2C(=O)NCC2CCNCC2)cc1,1,[*]C1C([*])C(C(N1)c1ccc([*])cc1)C(=O)N[*],*C|*C|*C|C1CNCCC1C*,O=C(NCC1CCNCC1)C1CCNC1c1ccccc1,0.89864,8.1471,0.0,4.0,0.7949557,0.795,0.0018114,3.7094,0.9379611,329.488,0.7884759,24.0,0.9996763,2.3959,0.997672,53.16,0.9693466,3.0,0.0031523,3.0,0.3052647,4.0,0.5,3.0,0.9968477,1.0,1.0,1.0,[],158,7.126889085463733
13.2706,25.9747,45.7566,0.597761,CC(=O)NC(=O)C1C(c2ccc(C)cc2)NC(CC2CCNCC2)C1C,1,[*]C1C([*])C(C(N1)c1ccc([*])cc1)C(=O)N[*],C1CC(C*)CCN1|C*|*C|C(=O)(*)C,c1ccc(C2CCC(CC3CCNCC3)N2)cc1,0.9276892,8.0026,0.0,4.0,0.7733785,0.7734,0.0003908,3.9427,0.9950122,357.498,0.878002,26.0,0.9994773,2.3126,0.9999989,70.23,0.7597469,4.0,0.0031523,3.0,0.3052647,4.0,0.5,3.0,0.9968477,1.0,1.0,1.0,[],367,9.94031163465779
15.1748,26.2814,43.3097,0.5799259,CCCC1C(CC2CCNCC2)NC(c2ccc(C)cc2)C1C(=O)NC(C)=O,1,[*]C1C([*])C(C(N1)c1ccc([*])cc1)C(=O)N[*],C1(C*)CCNCC1|C(C)C*|C*|O=C(C)*,c1ccc(C2CCC(CC3CCNCC3)N2)cc1,0.9253239,8.0162,0.0,4.0,0.7037577,0.7038,0.000295,3.9855,0.9996217,385.552,0.9090909,28.0,0.9946333,3.0928,0.9999989,70.23,0.7597469,4.0,0.0031523,3.0,0.016115,6.0,0.5,3.0,0.9968477,1.0,1.0,1.0,[],459,9.63385266142352
15.9774,26.5372,43.0355,0.5797723,CCCC1NC(c2ccc(C)cc2)C(C(=O)NC(C)=O)C1CC1CCNCC1,1,[*]C1C([*])C(C(N1)c1ccc([*])cc1)C(=O)N[*],CCC*|C1(C*)CCNCC1|*C|C(=O)(*)C,c1ccc(C2CC(CC3CCNCC3)CN2)cc1,0.9246554,8.02,0.0,4.0,0.7037577,0.7038,0.0003016,3.9821,0.9996217,385.552,0.9090909,28.0,0.9946333,3.0928,0.9999989,70.23,0.7597469,4.0,0.0031523,3.0,0.016115,6.0,0.5,3.0,0.9968477,1.0,1.0,1.0,[],358,9.549925860214369
15.79,35.716,32.9245,0.5720043,Cc1ccc(C2NC(C)C(C3CCNCC3)C2C(=O)NCC2CCC2)cc1,1,[*]C1C([*])C(C(N1)c1ccc([*])cc1)C(=O)N[*],C*|C1(*)CCNCC1|C*|C1(C*)CCC1,O=C(NCC1CCC1)C1C(c2ccccc2)NCC1C1CCNCC1,0.9090699,8.1001,0.0,4.0,0.7471629,0.7472,0.0007818,3.8373,0.9983512,369.553,0.9090909,27.0,0.9913597,3.1761,0.997672,53.16,0.9693466,3.0,0.0031523,3.0,0.0782003,5.0,0.0031523,4.0,0.9968477,1.0,1.0,1.0,[],284,7.941453549446813
16.6619,29.992,38.4278,0.5701649,Cc1ccc(C2NC(C3CCC3)C(C)C2C(=O)NCC2CCNCC2)cc1,1,[*]C1C([*])C(C(N1)c1ccc([*])cc1)C(=O)N[*],C1(*)CCC1|C*|*C|N1CCC(C*)CC1,O=C(NCC1CCNCC1)C1CC(C2CCC2)NC1c1ccccc1,0.901043,8.1366,0.0,4.0,0.7471629,0.7472,0.0009229,3.8121,0.9983512,369.553,0.9090909,27.0,0.9913597,3.1761,0.997672,53.16,0.9693466,3.0,0.0031523,3.0,0.0782003,5.0,0.0031523,4.0,0.9968477,1.0,1.0,1.0,[],338,7.301296749459663
13.9979,29.9609,38.4206,0.5698455,Cc1ccc(C2NC(C3CC3)C(C)C2C(=O)NCC2CCNCC2)cc1,1,[*]C1C([*])C(C(N1)c1ccc([*])cc1)C(=O)N[*],C1C(*)C1|*C|*C|C1CNCCC1C*,O=C(NCC1CCNCC1)C1CC(C2CC2)NC1c1ccccc1,0.900273,8.14,0.0,4.0,0.7612274,0.7612,0.0009502,3.8076,0.9940248,355.526,0.878002,26.0,0.9990782,2.786,0.997672,53.16,0.9693466,3.0,0.0031523,3.0,0.0782003,5.0,0.0031523,4.0,0.9968477,1.0,1.0,1.0,[],181,7.244359600749891
17.4659,32.9487,35.4032,0.5695993,Cc1ccc(C2NC(C)C(C3CC3)C2C(=O)NCC2CCCNCC2)cc1,1,[*]C1C([*])C(C(N1)c1ccc([*])cc1)C(=O)N[*],*C|C1(*)CC1|*C|C1(C*)CCNCCC1,O=C(NCC1CCCNCC1)C1C(c2ccccc2)NCC1C1CC1,0.8987772,8.1465,0.0,5.0,0.7471629,0.7472,0.0004598,3.918,0.9983512,369.553,0.9090909,27.0,0.9913597,3.1761,0.997672,53.16,0.9693466,3.0,0.0031523,3.0,0.0782003,5.0,0.0031523,4.0,0.9968477,1.0,1.0,1.0,[],209,7.136742051224748
16.3493,39.9911,28.3086,0.5691642,CCNC(=O)C1C(c2ccc(C)cc2)NC(C2CC2)C1CC1CCNCC1,1,[*]C1C([*])C(C(N1)c1ccc([*])cc1)C(=O)N[*],C1(*)CC1|C1C(C*)CCNC1|C*|C(C)*,c1ccc(C2CC(CC3CCNCC3)C(C3CC3)N2)cc1,0.9177377,8.0572,0.0,4.0,0.7218501,0.7219,0.0004818,3.9109,0.9983512,369.553,0.9090909,27.0,0.9913597,3.1761,0.997672,53.16,0.9693466,3.0,0.0031523,3.0,0.016115,6.0,0.0031523,4.0,0.9968477,1.0,1.0,1.0,[],376,8.765970403212794
20.5544,36.4923,30.8808,0.5614425,Cc1ccc(C2NC(C)C(N3CCCCC3)C2C(=O)NCC2CCNC2)cc1,1,[*]C1C([*])C(C(N1)c1ccc([*])cc1)C(=O)N[*],C*|C1N(*)CCCC1|*C|C1NCC(C*)C1,O=C(NCC1CCNC1)C1C(c2ccccc2)NCC1N1CCCCC1,0.9227535,8.0305,0.0,5.0,0.728693,0.7287,0.0003728,3.95,0.9995859,384.568,0.9090909,28.0,0.9991309,2.2242,0.9994755,56.4,0.7597469,4.0,0.0031523,3.0,0.0782003,5.0,0.0031523,4.0,0.9968477,1.0,1.0,1.0,[],549,9.321804703416081
