SMILES,Score,DENV_Activity (raw),QED (raw),SA (raw),MW,LogP,HBA,HBD,TPSA
Cc1ccc(C2NC(C)C(C)C2C(=O)NCC2CCNCC2)cc1,0.5980088,8.1471,0.795,3.7094,0.9379611,0.9996763,0.9693466,0.0031523,0.997672
CC(=O)NC(=O)C1C(c2ccc(C)cc2)NC(CC2CCNCC2)C1C,0.597761,8.0026,0.7734,3.9427,0.9950122,0.9994773,0.7597469,0.0031523,0.9999989
CCCC1C(CC2CCNCC2)NC(c2ccc(C)cc2)C1C(=O)NC(C)=O,0.5799259,8.0162,0.7038,3.9855,0.9996217,0.9946333,0.7597469,0.0031523,0.9999989
CCCC1NC(c2ccc(C)cc2)C(C(=O)NC(C)=O)C1CC1CCNCC1,0.5797723,8.02,0.7038,3.9821,0.9996217,0.9946333,0.7597469,0.0031523,0.9999989
Cc1ccc(C2NC(C)C(C3CCNCC3)C2C(=O)NCC2CCC2)cc1,0.5720043,8.1001,0.7472,3.8373,0.9983512,0.9913597,0.9693466,0.0031523,0.997672
Cc1ccc(C2NC(C3CCC3)C(C)C2C(=O)NCC2CCNCC2)cc1,0.5701649,8.1366,0.7472,3.8121,0.9983512,0.9913597,0.9693466,0.0031523,0.997672
Cc1ccc(C2NC(C3CC3)C(C)C2C(=O)NCC2CCNCC2)cc1,0.5698455,8.14,0.7612,3.8076,0.9940248,0.9990782,0.9693466,0.0031523,0.997672
Cc1ccc(C2NC(C)C(C3CC3)C2C(=O)NCC2CCCNCC2)cc1,0.5695993,8.1465,0.7472,3.918,0.9983512,0.9913597,0.9693466,0.0031523,0.997672
CCNC(=O)C1C(c2ccc(C)cc2)NC(C2CC2)C1CC1CCNCC1,0.5691642,8.0572,0.7219,3.9109,0.9983512,0.9913597,0.9693466,0.0031523,0.997672
Cc1ccc(C2NC(C)C(N3CCCCC3)C2C(=O)NCC2CCNC2)cc1,0.5614425,8.0305,0.7287,3.95,0.9995859,0.9991309,0.7597469,0.0031523,0.9994755
Cc1ccc(C2NC(C)C(CC3CCC3)C2C(=O)NCC2CCNCC2)cc1,0.5602545,8.1293,0.7039,3.8666,0.9995465,0.9239339,0.9693466,0.0031523,0.997672
CC1NC(c2ccc(C3CCNCC3)cc2)C(C(=O)NCC2CCCC2)C1C,0.5600772,8.0875,0.7259,3.785,0.9995465,0.81265,0.9693466,0.0031523,0.997672
CC1NC(c2ccc(-c3cccnc3)cc2)C(C(=O)NCC2CCNCC2)C1C,0.5355988,8.2081,0.7313,3.7419,0.9998013,0.9925781,0.7597469,0.0031523,0.9999938
