SMILES,Score,DENV_Activity,QED,SA,MW,LogP,HBA,HBD,TPSA
Cc1ccc(C2NC(C)C(C)C2C(=O)NC(=O)N2CCCCC2)cc1,0.6606259,0.9756104,0.8676624,0.0029734,0.9820812,0.9968073,0.9693466,0.1279931,0.9999485
Cc1ccc(C2NC(C)C(C)C2C(=O)NC(=O)N2CCCCCC2)cc1,0.6605169,0.9756104,0.8527657,0.0031203,0.9950122,0.9706333,0.9693466,0.1279931,0.9999485
Cc1ccc(C2NC(C)C(C)C2C(=O)NC(=O)N2CC(C)(C)C2)cc1,0.6602391,0.9743878,0.8679164,0.0004293,0.9820812,0.9986046,0.9693466,0.1279931,0.9999485
Cc1ccc(C2NC(C)C(C)C2C(=O)NC(=O)N2CCCC(C)C2)cc1,0.6591162,0.9657154,0.8540407,0.0007283,0.9950122,0.9869727,0.9693466,0.1279931,0.9999485
Cc1ccc(C2NC(C)C(C)C2C(=O)NC(=O)N2CCC(C)C2)cc1,0.6591012,0.9693558,0.8679164,0.0006824,0.9820812,0.9986046,0.9693466,0.1279931,0.9999485
Cc1ccc(C2NC(C)C(C)C2C(=O)NC(=O)N2CCC(C)C(C)C2)cc1,0.6582071,0.9709842,0.8364407,0.0001296,0.9986247,0.9484122,0.9693466,0.1279931,0.9999485
Cc1ccc(C2NC(C)C(C)C2C(=O)NC(=O)N2CCCC2)cc1,0.6564432,0.9755831,0.8766368,0.0027673,0.9377248,0.999661,0.9693466,0.1279931,0.9999485
CNC(=O)C1C(c2ccc(C(=O)N3CCCCCC3)cc2)NC(C)C1C,0.653214,0.9731429,0.8743477,0.0065992,0.9950122,0.9993169,0.9693466,0.1279931,0.9999485
Cc1ccc(C2NC(C)C(C(C)C)C2C(=O)NC2=NC(=O)CCC2)cc1,0.6531069,0.9770316,0.8749463,0.000137,0.9940006,0.992913,0.9693466,0.1279931,0.9999987
CC1=CC(C2NC(c3ccc(C)cc3)C(C(=O)NC(=O)N(C)C)C2C)C=C1,0.6527927,0.9732061,0.8624644,3.02e-05,0.9980075,0.9906306,0.9693466,0.1279931,0.9999485
Cc1ccc(C2NC(C)C(C(C)C)C2C(=O)NC(=O)N2CCCC2)cc1,0.6522567,0.9748976,0.8728651,0.0013072,0.9950122,0.9869727,0.9693466,0.1279931,0.9999485
Cc1ccc(C2NC(C)C(C)C2C(=O)NC2CC(C)C(=O)N(C)C2)cc1,0.6520916,0.9715809,0.8722912,6.74e-05,0.9950122,0.9993051,0.9693466,0.1279931,0.9999485
Cc1ccc(C2NC(C(C)C)C(C)C2C(=O)NC(=O)N2CCC2)cc1,0.6520295,0.9776155,0.8870466,0.0010138,0.9820812,0.9986046,0.9693466,0.1279931,0.9999485
CCC1C(C)NC(c2ccc(C)cc2)C1C(=O)NC1=NC(=O)CCC1,0.6520151,0.9786215,0.8879381,0.0001815,0.9785038,0.998271,0.9693466,0.1279931,0.9999987
CC(=O)N1CCC(NC(=O)C2C(c3ccc(C)cc3)NC(C)C2C)CC1C,0.6516444,0.9669676,0.858855,0.0001865,0.9986247,0.9990253,0.9693466,0.1279931,0.9999485
CCC1C(C)NC(c2ccc(C)cc2)C1C(=O)NC(=O)N1CCCC1,0.6514471,0.9753244,0.886787,0.0018467,0.9820812,0.9968073,0.9693466,0.1279931,0.9999485
CC(=O)N1CCC(NC(=O)C2C(c3ccc(C)cc3)NC(C)C2C)CC1,0.651337,0.966457,0.8732417,0.0036491,0.9950122,0.9996967,0.9693466,0.1279931,0.9999485
CC(=O)N1CCCCC1NC(=O)C1C(c2ccc(C)cc2)NC(C)C1C,0.6511704,0.9668533,0.8743685,0.0002262,0.9950122,0.9992296,0.9693466,0.1279931,0.9999485
CCc1ccc(C2NC(C)C(C)C2C(=O)NC(=O)N2CCC(C)C2)cc1,0.6510432,0.9677607,0.8736982,0.0006196,0.9950122,0.9940071,0.9693466,0.1279931,0.9999485
CC(=O)NC(=O)C1C(c2ccc(C)cc2)NC(C2CC(C)(C)C2)C1C,0.6503608,0.9778181,0.8854295,0.0003055,0.9804077,0.9756175,0.9693466,0.1279931,0.9997709
