SMILES,Score,DENV_Activity (raw),QED (raw),SA (raw),MW,LogP,HBA,HBD,TPSA
Cc1ccc(C2NC(C)C(C)C2C(=O)Nc2ccccc2C)cc1,0.7879833,7.4896,0.8878,3.3114,0.9847929,0.9723124,0.9968477,0.5,0.9862286
Cc1ccc(C2NC(C)C(C)C2C(=O)Nc2ccccc2)cc1,0.7851495,7.6396,0.9021,3.2543,0.9665349,0.9931662,0.9968477,0.5,0.9862286
Cc1ccc(C2NC(C)C(C)C2C(=O)NC(=O)N2CCCCC2)cc1,0.7845649,7.5581,0.8677,3.6339,0.9954162,0.999899,0.97891,0.5,0.9999943
Cc1ccc(C2NC(C)C(C)C2C(=O)NC2CCCCC2)cc1,0.783865,7.604,0.8924,3.5011,0.9761391,0.9971372,0.9968477,0.5,0.9862286
CNC(=O)C1C(c2ccc(N3CCCCC3)cc2)NC(C)C1C,0.7832717,7.5484,0.9013,3.5608,0.9774285,0.9999616,0.97891,0.5,0.995989
Cc1ccc(C2NC(C)C(C)C2C(=O)NC(=O)N2CCCC2)cc1,0.7831506,7.5586,0.8766,3.6449,0.9897803,0.9999403,0.97891,0.5,0.9999943
Cc1ccc(C2NC(C)C(C)C2C(=O)NC2CCCCCC2)cc1,0.7818739,7.604,0.8196,3.4938,0.9892157,0.9829867,0.9968477,0.5,0.9862286
Cc1ccc(C2NC(C)C(C)C2C(=O)NC2CCCC2)cc1,0.7805713,7.6048,0.8987,3.5123,0.9480392,0.999524,0.9968477,0.5,0.9862286
Cc1ccc(C2NC(C)C(C)C2C(=O)NC(=O)N2CCC2)cc1,0.7804567,7.5522,0.8795,3.6734,0.9773726,0.9996403,0.97891,0.5,0.9999943
CCc1ccc(C2NC(C)C(C)C2C(=O)NC(=O)N2CCCC2)cc1,0.7803937,7.5831,0.887,3.662,0.9954162,0.999946,0.97891,0.5,0.9999943
CCC1C(C)NC(c2ccc(C)cc2)C1C(=O)NC(=O)N1CCCCC1,0.7802357,7.5638,0.8716,3.6961,0.9979505,0.9993913,0.97891,0.5,0.9999943
Cc1ccc(C2NC(C)C(C)C2C(=O)NC(=O)c2ccccc2)cc1,0.7801971,7.5668,0.8462,3.3884,0.993143,0.9997026,0.97891,0.5,0.9999801
Cc1ccc(C2NC(C)C(C)C2C(=O)NC(=O)C2CCCCC2)cc1,0.7796708,7.5779,0.8267,3.6065,0.9951492,0.9989861,0.97891,0.5,0.9999801
CCC1NC(c2ccc(C)cc2)C(C(=O)NC(=O)N2CCCCC2)C1C,0.7796311,7.5697,0.8716,3.707,0.9979505,0.9993913,0.97891,0.5,0.9999943
Cc1ccc(C2NC(C(C)C)C(C)C2C(=O)NC(=O)N2CCCC2)cc1,0.7795091,7.529,0.8729,3.7701,0.9979505,0.9996865,0.97891,0.5,0.9999943
CNC(=O)C1C(c2ccc(C)cc2)NC(N2CCCCC2)C1C,0.7790846,7.4936,0.9004,3.7198,0.9774285,0.9998739,0.97891,0.5,0.995989
Cc1ccc(C2NC(C)C(C)C2C(=O)NC2CCN(C)CC2)cc1,0.7790443,7.6353,0.8954,3.6078,0.9898059,0.9998956,0.97891,0.5,0.995989
CCc1ccc(C2NC(C)C(C)C2C(=O)NC(=O)N2CCC2)cc1,0.7786874,7.5789,0.8954,3.6869,0.9897803,0.9998883,0.97891,0.5,0.9999943
CC(=O)NC(=O)C1C(c2ccc(C)cc2)NC(C2CCCCC2)C1C,0.7784846,7.563,0.8837,3.7384,0.9951492,0.9989861,0.97891,0.5,0.9999801
Cc1ccc(C2NC(C)C(C)C2C(=O)NC(=O)C2CCCC2)cc1,0.778464,7.5777,0.8383,3.6162,0.9891887,0.9998317,0.97891,0.5,0.9999801
