Alcohol,Amine,Amide,Ester,Ether,Ketone,Halogen,Aromatic_N,Sulfone,Nitro,SMILES
0,0,2,0,0,2,3,0,1,0,CC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(-c2ccccc2)cc1
0,0,2,0,0,2,3,0,1,0,CC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(-c2ccccc2)cc1
0,0,2,0,0,2,3,0,1,0,CCS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(C(C)=O)C1c1ccc(C(C)C)cc1
0,0,3,1,1,2,3,0,1,0,Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3cccc(C(F)(F)F)c3)N2C(=O)CNC(=O)OC(C)C)cc1
0,0,3,0,0,2,3,0,0,0,CCc1ccc(C2C(C(=O)NC(=O)S)CC(c3cccc(C(F)(F)F)c3)N2C(C)=O)cc1
0,0,2,0,2,2,3,0,1,0,CCS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(C(=O)COc2ccc(OC)cc2)C1c1ccc(-c2ccccc2)cc1
0,0,3,0,0,3,3,0,0,0,CC(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(C(=O)c2ccc(C)cc2)C1c1ccc(C)cc1
0,0,2,0,0,2,0,0,1,1,Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccc(C(C)C)cc3)N2C(=O)CO[N+](=O)[O-])c1
0,1,2,0,0,2,0,0,1,0,Cc1ccc(S(=O)(=O)NC(=O)C2CC(c3cccc(C)c3)N(C(=O)CCN)C2c2ccc(C(C)C)cc2)cc1
0,0,2,0,0,2,0,0,1,0,CCC(=O)N1C(c2cccc(C)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(C)cc1
0,0,3,0,1,3,0,0,0,0,CCCCOCC(=O)N1C(c2cccc(C)c2)CC(C(=O)NC(C)=O)C1c1ccc(C)cc1
0,0,3,0,0,1,0,0,1,0,Cc1ccc(NC(=O)N2C(c3cccc(C)c3)CC(C(=O)NS(=O)(=O)c3ccc(C)cc3)C2c2ccc(C)cc2)cc1
0,0,2,0,0,2,0,0,1,0,Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3cccc(C)c3)N2C(=O)CCc2ccccc2)cc1
0,0,2,0,0,2,3,0,1,0,Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3cccc(C(F)(F)F)c3)N2C(=O)CCC2CCN(C)CC2)cc1
0,0,2,1,2,1,3,0,1,0,COCC(C)(C)OC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(C(C)C)cc1
0,0,1,0,0,1,3,0,2,0,CS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(S(C)(=O)=O)C1c1ccc(-c2ccccc2)cc1
0,1,2,0,0,2,0,0,1,0,Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3cccc(C)c3)N2C(=O)C2CCCN2)cc1
0,0,2,0,0,2,0,0,1,0,Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccc(C(C)C)cc3)N2C(=O)CCCN2CCCC2)c1
0,0,2,0,1,2,0,0,1,0,CCC(=O)N1C(c2cccc(C)c2)CC(C(=O)NS(=O)(=O)CCOC)C1c1ccc(-c2ccccc2)cc1
0,0,3,0,0,3,0,0,0,0,CC(=O)NC(=O)C1CC(c2cccc(C)c2)N(C(C)=O)C1c1ccc(C(C)C)cc1
0,0,2,0,1,2,0,0,1,0,COCC(=O)N1C(c2cccc(C)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(-c2ccccc2)cc1
0,0,2,0,0,2,0,0,1,0,CC(=O)N1C(c2cccc(C)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(C(C)C)cc1
0,0,2,0,1,2,0,0,1,0,Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccc(C(C)C)cc3)N2C(=O)COc2ccccc2)c1
0,0,2,0,0,2,3,0,1,0,CC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(-c2ccccc2)cc1
0,0,3,0,0,1,3,0,1,0,CCCCCNC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(C(C)C)cc1
0,0,2,0,0,2,3,0,1,0,CC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(C)cc1
0,0,3,0,0,3,3,0,1,0,CC(=O)N1CCC(C(=O)N2C(c3cccc(C(F)(F)F)c3)CC(C(=O)NS(C)(=O)=O)C2c2ccc(C(C)C)cc2)CC1
0,0,2,0,2,2,3,0,1,0,COCCOCC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(C)cc1
0,0,2,0,0,2,3,0,1,0,CC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(C)cc1
0,0,2,0,0,2,3,0,1,0,Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3cccc(C(F)(F)F)c3)N2C(=O)CN(C)C)cc1
0,0,2,0,1,2,3,0,1,0,COCC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(C(C)C)cc1
0,0,2,0,0,2,3,0,1,0,CC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1
0,0,2,0,1,2,3,0,1,0,COc1ccc(S(=O)(=O)NC(=O)C2CC(c3cccc(C(F)(F)F)c3)N(C(C)=O)C2c2ccccc2)cc1
0,0,1,0,1,1,6,0,2,0,CCS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(S(=O)(=O)c2ccc(OC(F)(F)F)cc2)C1c1ccccc1
0,1,1,0,0,1,3,0,2,0,CS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(CCS(N)(=O)=O)C1c1ccccc1
0,0,2,0,0,2,3,4,1,0,CS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(C(=O)Cn2cc(-c3ccncn3)cn2)C1c1ccccc1
0,0,1,0,0,1,4,1,2,0,CS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(S(=O)(=O)c2ccc(Cl)nc2)C1c1ccccc1
0,0,2,0,0,2,3,4,1,0,CS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(C(=O)c2cccc(-n3cnnn3)c2)C1c1ccccc1
0,0,2,0,1,2,0,0,1,0,CS(=O)(=O)NC(=O)C1CC(c2cccc(C3CC3)c2)N(C(=O)COc2ccccc2)C1c1ccccc1
0,0,1,0,0,1,0,2,1,0,Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccccc3)N2Cc2cncnc2)c1
0,0,1,0,0,1,0,2,2,0,Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccccc3)N2S(=O)(=O)c2c(C)nn(C)c2C)c1
