SMILES,QED,MW,LogP,TPSA,HBA,HBD,RotBonds,ArRings,Score,RO5_Viol
CCc1ccc(C2C(C(=O)NC(=O)S)CC(c3cccc(C(F)(F)F)c3)N2C(C)=O)cc1,0.6201668547189021,464.50900000000007,5.084600000000004,66.48,3,2,4,2,0.0,1
CCC(=O)N1C(c2cccc(C)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(C)cc1,0.7909565904877348,428.55400000000014,3.4201400000000026,83.55000000000001,4,1,5,2,0.7785497,0
CCCCOCC(=O)N1C(c2cccc(C)c2)CC(C(=O)NC(C)=O)C1c1ccc(C)cc1,0.6045446051859233,450.5790000000002,4.413740000000003,75.71000000000001,4,1,8,2,0.7456258,0
Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3cccc(C)c3)N2C(=O)C2CCCN2)cc1,0.702165656993626,469.6070000000002,2.7621400000000005,95.58000000000001,5,2,5,2,0.7029792,0
CC(=O)NC(=O)C1CC(c2cccc(C)c2)N(C(C)=O)C1c1ccc(C(C)C)cc1,0.8166771439242023,406.5260000000001,4.431920000000004,66.48,3,1,4,2,0.7913067,0
CC(=O)N1C(c2cccc(C)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(C(C)C)cc1,0.7624801058220742,442.5810000000002,3.8450200000000034,83.55000000000001,4,1,5,2,0.7747979,0
CC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(C)cc1,0.7411784787139595,468.4970000000001,3.740420000000002,83.55000000000001,4,1,4,2,0.0,0
CC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(C)cc1,0.7411784787139595,468.4970000000001,3.740420000000002,83.55000000000001,4,1,4,2,0.0,0
Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3cccc(C(F)(F)F)c3)N2C(=O)CN(C)C)cc1,0.6434785945313148,511.56600000000014,3.2821200000000026,86.79,5,1,6,2,0.0,1
CC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1,0.7674234776370052,454.4700000000001,3.432000000000002,83.55000000000001,4,1,4,2,0.0,0
Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccccc3)N2Cc2cncnc2)c1,0.620225744279909,450.56400000000014,3.1653200000000012,92.26,6,1,6,3,0.6841214,0
CC(=O)N1C(c2cccc(C)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1,0.8553528480591113,400.5000000000001,2.7216200000000015,83.55000000000001,4,1,4,2,0.7956984,0
CC(=O)N1C(c2cccc(C)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1,0.8553528480591113,400.5000000000001,2.7216200000000015,83.55000000000001,4,1,4,2,0.0,0
Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccccc3)N2C)c1,0.8962048706747756,372.49000000000007,2.804920000000001,66.48,4,1,4,2,0.7950847,0
CC(=O)N1C(c2cccc(C)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1,0.8553528480591113,400.5000000000001,2.7216200000000015,83.55000000000001,4,1,4,2,0.0,0
CC(=O)N1C(c2cccc(C)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1,0.8553528480591113,400.5000000000001,2.7216200000000015,83.55000000000001,4,1,4,2,0.0,0
Cc1cccc(C2CC(C(=O)NC(N)=O)C(c3ccccc3)N2S(C)(=O)=O)c1,0.8186552476180874,401.4880000000001,2.25382,109.57,4,2,4,2,0.7730035,0
Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccccc3)N2Cc2nccn2C)c1,0.6213104876947074,452.58000000000015,3.1088200000000015,84.30000000000001,6,1,6,3,0.6838353,0
Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccccc3)N2C(=O)n2ccnn2)c1,0.648977302810676,453.5240000000001,2.434920000000001,114.26000000000002,7,1,4,3,0.6903364,0
Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccccc3)N2c2ncccn2)c1,0.6605035053895446,436.5370000000001,3.1697200000000016,92.26,6,1,5,3,0.7015552,0
Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccccc3)N2C(=O)c2cnc(C)cn2)c1,0.6035154142398899,478.5740000000002,3.1139400000000013,109.33000000000001,6,1,5,3,0.6895785,0
CCS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(C(C)=O)C1c1ccccc1,0.7232822049147175,468.4970000000001,3.8221000000000034,83.55000000000001,4,1,5,2,0.0,0
CC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1,0.7674234776370052,454.4700000000001,3.432000000000002,83.55000000000001,4,1,4,2,0.0,0
CSCC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1,0.6529652973283288,500.5640000000002,3.775100000000003,83.55000000000001,5,1,6,2,0.0,1
COCS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(C(C)=O)C1c1ccccc1,0.6785876953195017,484.4960000000001,3.406100000000002,92.78,5,1,6,2,0.0,0
CCC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1,0.7232822049147175,468.49700000000007,3.8221000000000025,83.55000000000001,4,1,5,2,0.0,0
CC(=O)N1C(c2cccc(N)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1,0.7616945723539928,401.4880000000001,1.9954,109.57,5,2,4,2,0.7481238,0
CC(=O)N1C(c2cccc3ccccc23)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1,0.677804467215476,436.5330000000001,3.5664000000000025,83.55000000000001,4,1,4,3,0.7527797,0
CN1C(c2cccc3ccccc23)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1,0.7156430392165056,408.5230000000001,3.649700000000002,66.48,4,1,4,3,0.7543145,0
CCN1C(c2cccc3ccccc23)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1,0.6739251558947764,422.5500000000001,4.039800000000003,66.48,4,1,5,3,0.7364818,0
CS(=O)(=O)NC(=O)C1CC(c2cccc3ccccc23)N(S(C)(=O)=O)C1c1ccccc1,0.615323547654502,472.5880000000002,2.9795000000000016,100.62,5,1,5,3,0.7152817,0
Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3ccccc3)N2C(=O)CN)cc1,0.7718350331524911,415.5150000000001,1.6604199999999998,109.57000000000001,5,2,5,2,0.0,0
Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3ccccc3)N2C)cc1,0.8962048706747756,372.49,2.804920000000001,66.48,4,1,4,2,0.0,0
CN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(-c2ccccc2)cc1,0.6547563532433602,434.5610000000001,4.1635000000000035,66.48,4,1,5,3,0.7471956,0
CN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(-c2ccccc2)cc1,0.6547563532433602,434.5610000000001,4.1635000000000035,66.48,4,1,5,3,0.0,0
CC(=O)N1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(-c2ccccc2)cc1,0.6193417012685409,462.5710000000002,4.080200000000003,83.55000000000001,4,1,5,3,0.7434651,0
CN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1cccc2ccccc12,0.7156430392165056,408.5230000000001,3.649700000000003,66.48,4,1,4,3,0.7580508,0
CN(C)C(=O)N1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1cccc2ccccc12,0.6365600997329651,465.57500000000016,3.701500000000002,86.78999999999999,4,1,4,3,0.0,0
CC(=O)N1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1,0.8746612517273759,386.4730000000001,2.4132000000000007,83.55000000000001,4,1,4,2,0.0,0
CC(=O)N1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1,0.8746612517273759,386.4730000000001,2.4132000000000007,83.55000000000001,4,1,4,2,0.0,0
CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(C(=O)Cc2ccccc2)C1c1ccccc1,0.6063523306703087,462.5710000000002,3.636000000000003,83.55000000000001,4,1,6,3,0.7377406,0
CN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1,0.9118849511384267,358.463,2.496500000000001,66.48,4,1,4,2,0.0,0
CN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1,0.9118849511384267,358.463,2.496500000000001,66.48,4,1,4,2,0.0,0
CN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1,0.9118849511384267,358.463,2.496500000000001,66.48,4,1,4,2,0.0,0
N#CN1C(c2ccccc2)CC(C(=O)NS(=O)(=O)c2ccccc2)C1c1ccccc1,0.62115899052557,431.5170000000001,3.7770800000000024,90.27000000000001,5,1,5,3,0.7183947,0
COc1ccc(C(=O)N2C(c3ccccc3)CC(C(=O)NC(C)=O)C2c2ccccc2)cc1,0.6392149014120042,442.51500000000016,4.3026000000000035,75.71000000000001,4,1,5,3,0.7456842,0
CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(Cc2ccccc2)C1c1ccccc1,0.6352313700165017,434.56100000000015,4.066900000000003,66.48,4,1,6,3,0.7401975,0
CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(Cc2ccccc2)C1c1ccccc1,0.6352313700165017,434.56100000000015,4.066900000000003,66.48,4,1,6,3,0.0,0
CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(Cc2ccccc2F)C1c1ccccc1,0.608654008249341,452.55100000000016,4.206000000000003,66.48,4,1,6,3,0.7329708,0
CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(Cc2ccccc2)C1c1ccccc1,0.6352313700165017,434.56100000000015,4.066900000000003,66.48,4,1,6,3,0.0,0
CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(Cc2ccccc2)C1c1ccccc1,0.6352313700165017,434.56100000000015,4.066900000000003,66.48,4,1,6,3,0.0,0
CCN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1cccnc1,0.869794933835536,373.47800000000007,2.2816,79.37,5,1,5,2,0.7562788,0
CN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1cccnc1,0.9017810030825019,359.451,1.8915000000000004,79.37,5,1,4,2,0.7697385,0
CC(C)NC(=O)NC(=O)C1CC(c2ccccc2)N(C)C1c1cccnc1,0.8721485967865675,366.4650000000001,3.049900000000002,74.33000000000001,4,2,4,2,0.7708848,0
CN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1cccnc1,0.9017810030825019,359.451,1.8915000000000004,79.37,5,1,4,2,0.0,0
CN1C(c2ccccc2)CC(C(=O)NS(=O)(=O)c2ccccc2)C1c1cccnc1,0.6836961852962904,421.52200000000005,3.320800000000002,79.37,5,1,5,3,0.7261166,0
COc1ccc(S(=O)(=O)NC(=O)C2CC(c3ccccc3)N(C)C2c2cccnc2)cc1,0.6185239338813437,451.5480000000001,3.3294000000000015,88.6,6,1,6,3,0.6961651,0
CN1C(c2ccccc2)CC(C(=O)NC(=O)n2ccnc2)C1c1cccnc1,0.7614110113376301,375.432,2.7967000000000013,80.12,6,1,3,3,0.7105231,0
CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(Cc2ccccc2)C1c1cccnc1,0.6414778189690303,435.54900000000015,3.4619000000000018,79.37,5,1,6,3,0.7134956,0
CCCN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1cccnc1,0.8243354564505659,387.5050000000001,2.6717000000000013,79.37,5,1,6,2,0.746166,0
CC(=O)NC(=O)C1CC(c2ccccc2)N(C(=O)c2cc(C)cc(C)c2)C1c1cccnc1,0.65451910691612,441.5310000000002,4.305840000000004,79.37,4,1,4,3,0.7411293,0
CN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1cccnc1,0.9017810030825019,359.451,1.8915000000000004,79.37,5,1,4,2,0.0,0
CN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1cccnc1,0.9017810030825019,359.451,1.8915000000000004,79.37,5,1,4,2,0.0,0
CN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1cccnc1,0.9017810030825019,359.451,1.8915000000000004,79.37,5,1,4,2,0.0,0
CN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1cccnc1,0.9017810030825019,359.451,1.8915000000000004,79.37,5,1,4,2,0.0,0
Cc1ccc(S(=O)(=O)NC(=O)C2CC(c3ccccc3)N(C)C2c2cccnc2)cc1,0.6620867626338541,435.5490000000001,3.6292200000000028,79.37,5,1,5,3,0.7230349,0
CN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1cccnc1,0.9017810030825019,359.451,1.8915000000000004,79.37,5,1,4,2,0.0,0
CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(C(=O)CCC2CCCC2)C1c1cccnc1,0.6660611512890854,469.60700000000037,3.758700000000003,96.44000000000001,5,1,7,2,0.710206,0
CC(=O)NC(=O)C1CC(c2ccccc2)N(C2CCCCC2)C1c1cccnc1,0.8492146120996179,391.5150000000002,4.181300000000004,62.300000000000004,4,1,4,2,0.7614552,0
CCN1C(c2ccccc2)CC(C(=O)NS(=O)(=O)c2ccc(C)cc2)C1c1cccnc1,0.6149230781922024,449.57600000000014,4.019320000000003,79.37,5,1,6,3,0.7082888,0
CC(=O)NC(=O)C1CC(c2ccccc2)N(S(=O)(=O)N(C)C)C1c1cccnc1,0.7990413536342048,416.50300000000016,1.6549999999999996,99.68,5,1,5,2,0.7531661,0
CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(Cc2ccccc2)C1c1cccnc1,0.6414778189690303,435.54900000000015,3.4619000000000018,79.37,5,1,6,3,0.0,0
CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(C(=O)c2ccccc2)C1c1cccnc1,0.6457053950201047,449.53200000000015,3.102100000000002,96.44000000000001,5,1,5,3,0.7208768,0
CC(=O)N1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccco1,0.8803573953532526,376.43400000000014,2.0062,96.69000000000001,5,1,4,2,0.7694051,0
NC(=O)NC(=O)C1CC(c2ccccc2)N(C(=O)c2ccccc2)C1c1ccco1,0.6961186340896428,403.4380000000001,3.419200000000002,105.64,4,2,4,3,0.7346318,0
CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(C=O)C1c1ccco1,0.8154038038230714,362.4070000000001,1.6160999999999999,96.69000000000001,5,1,5,2,0.7477358,0
CN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccco1,0.9151053020349672,348.42400000000004,2.0895,79.62,5,1,4,2,0.7698496,0
Cc1ccc(S(=O)(=O)NC(=O)C2CC(c3ccccc3)N(C)C2c2ccco2)cc1,0.6734374181868557,424.5220000000001,3.827220000000003,79.62,5,1,5,3,0.7252658,0
Cc1ccc(S(=O)(=O)NC(=O)C2CC(c3ccccc3)N(C)C2c2ccco2)cc1,0.6734374181868557,424.5220000000001,3.827220000000003,79.62,5,1,5,3,0.0,0
CCCCCNC(=O)N1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccco1,0.6033553734340491,447.5570000000002,3.3595000000000015,108.72000000000001,5,2,8,2,0.7174631,0
CN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccco1,0.9151053020349672,348.42400000000004,2.0895,79.62,5,1,4,2,0.0,0
CNC(=O)NC(=O)C1CC(c2ccccc2)N(C)C1c1ccco1,0.9080322756017573,327.38400000000007,2.4693000000000005,74.58000000000001,4,2,3,2,0.7798388,0
CN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccco1,0.9151053020349672,348.42400000000004,2.0895,79.62,5,1,4,2,0.0,0
CN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccco1,0.9151053020349672,348.42400000000004,2.0895,79.62,5,1,4,2,0.0,0
CN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccco1,0.9151053020349672,348.42400000000004,2.0895,79.62,5,1,4,2,0.0,0
Cc1ccc(S(=O)(=O)NC(=O)C2CC(c3ccccc3)N(C)C2c2ccco2)cc1,0.6734374181868557,424.5220000000001,3.827220000000003,79.62,5,1,5,3,0.0,0
CC(C)N1C(c2ccccc2)CC(C(=O)NS(=O)(=O)c2ccccc2)C1c1ccco1,0.6208093712958653,438.54900000000015,4.297400000000003,79.62,5,1,6,3,0.708516,0
CCN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccco1,0.8838589030945689,362.4510000000001,2.4796000000000005,79.62,5,1,5,2,0.7549034,0
Cc1cc(C)c(N2C(c3ccccc3)CC(C(=O)NC(N)=O)C2c2ccco2)c(C)c1,0.6434700921915386,417.5090000000002,4.708660000000003,88.57000000000001,4,2,4,3,0.7165388,0
CC(=O)NC(=O)C1CC(c2ccccc2)N(C(C)=O)C1c1ccco1,0.9312501622894669,340.3790000000001,2.5931000000000006,79.62,4,1,3,2,0.7965251,0
CC(=O)N1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccco1,0.8803573953532526,376.43400000000014,2.0062,96.69000000000001,5,1,4,2,0.0,0
CC(=O)N1C(c2ccccc2)CC(C(=O)NS(=O)(=O)c2cccc(C)c2)C1c1ccco1,0.636080876185388,452.5320000000002,3.743920000000003,96.69000000000001,5,1,5,3,0.7178357,0
CC(=O)N1C(c2ccccc2)CC(C(=O)NC(=O)Nc2ccccc2)C1c1ccco1,0.6628577034328182,417.4650000000001,4.278700000000003,91.65,4,2,4,3,0.73706,0
CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(Cc2ccccc2)C1c1ccco1,0.6532850891833705,424.52200000000016,3.659900000000003,79.62,5,1,6,3,0.7136414,0
NS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(Cc2ccccc2)C1c1ccco1,0.631705443732598,425.51000000000016,2.9038000000000013,105.63999999999999,5,2,6,3,0.690035,0
CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(Cc2ccccc2)C1c1ccco1,0.6532850891833705,424.52200000000016,3.659900000000003,79.62,5,1,6,3,0.0,0
