SMILES,QED,MW,LogP,TPSA,HBA,HBD,RotBonds,ArRings,Score,RO5_Viol
CC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(-c2ccccc2)cc1,0.49774261170203077,530.5680000000002,5.099000000000005,83.55000000000001,4,1,5,3,0.0,2
CC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(-c2ccccc2)cc1,0.49774261170203077,530.5680000000002,5.099000000000005,83.55000000000001,4,1,5,3,0.0,2
CCS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(C(C)=O)C1c1ccc(C(C)C)cc1,0.5964836225641168,510.5780000000002,4.9455000000000044,83.55000000000001,4,1,6,2,0.0,1
Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3cccc(C(F)(F)F)c3)N2C(=O)CNC(=O)OC(C)C)cc1,0.5225426846427419,569.6020000000001,3.855120000000003,121.88000000000001,6,2,7,2,0.0,1
CCc1ccc(C2C(C(=O)NC(=O)S)CC(c3cccc(C(F)(F)F)c3)N2C(C)=O)cc1,0.6201668547189021,464.50900000000007,5.084600000000004,66.48,3,2,4,2,0.0,1
CCS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(C(=O)COc2ccc(OC)cc2)C1c1ccc(-c2ccccc2)cc1,0.20593917063261488,666.7180000000002,6.556800000000007,102.01000000000002,6,1,10,4,0.0,2
CC(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(C(=O)c2ccc(C)cc2)C1c1ccc(C)cc1,0.47517921456074635,508.54000000000025,5.929640000000005,66.48,3,1,4,3,0.0,2
Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccc(C(C)C)cc3)N2C(=O)CO[N+](=O)[O-])c1,0.43186646758561087,503.5770000000003,3.0334200000000013,135.92000000000002,7,1,8,2,0.0,1
Cc1ccc(S(=O)(=O)NC(=O)C2CC(c3cccc(C)c3)N(C(=O)CCN)C2c2ccc(C(C)C)cc2)cc1,0.4164330294927437,547.7210000000003,4.911640000000004,109.57000000000001,5,2,8,3,0.635939,1
CCC(=O)N1C(c2cccc(C)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(C)cc1,0.7909565904877348,428.55400000000014,3.4201400000000026,83.55000000000001,4,1,5,2,0.7785497,0
CCCCOCC(=O)N1C(c2cccc(C)c2)CC(C(=O)NC(C)=O)C1c1ccc(C)cc1,0.6045446051859233,450.5790000000002,4.413740000000003,75.71000000000001,4,1,8,2,0.7456258,0
Cc1ccc(NC(=O)N2C(c3cccc(C)c3)CC(C(=O)NS(=O)(=O)c3ccc(C)cc3)C2c2ccc(C)cc2)cc1,0.2629749333966043,581.7380000000002,6.761780000000007,95.58000000000001,4,2,6,4,0.6026354,2
Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3cccc(C)c3)N2C(=O)CCc2ccccc2)cc1,0.5080357115759029,504.6520000000002,4.642940000000005,83.55000000000001,4,1,7,3,0.7094898,1
Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3cccc(C(F)(F)F)c3)N2C(=O)CCC2CCN(C)CC2)cc1,0.5074231424316996,579.6850000000001,4.842520000000005,86.79,5,1,7,2,0.0,1
COCC(C)(C)OC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(C(C)C)cc1,0.4354246901131611,584.6570000000002,5.570500000000006,102.00999999999999,6,1,8,2,0.0,2
CS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(S(C)(=O)=O)C1c1ccc(-c2ccccc2)cc1,0.4733368665141,566.6230000000003,4.512100000000004,100.62,5,1,6,3,0.0,1
Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3cccc(C)c3)N2C(=O)C2CCCN2)cc1,0.702165656993626,469.6070000000002,2.7621400000000005,95.58000000000001,5,2,5,2,0.7029792,0
Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccc(C(C)C)cc3)N2C(=O)CCCN2CCCC2)c1,0.4992012087304354,539.7420000000003,4.701120000000005,86.79,5,1,9,2,0.6822202,1
CCC(=O)N1C(c2cccc(C)c2)CC(C(=O)NS(=O)(=O)CCOC)C1c1ccc(-c2ccccc2)cc1,0.4259705120717533,534.6780000000003,4.795320000000004,92.78000000000002,5,1,9,3,0.6678422,1
CC(=O)NC(=O)C1CC(c2cccc(C)c2)N(C(C)=O)C1c1ccc(C(C)C)cc1,0.8166771439242023,406.5260000000001,4.431920000000004,66.48,3,1,4,2,0.7913067,0
COCC(=O)N1C(c2cccc(C)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(-c2ccccc2)cc1,0.5226819759052339,506.62400000000014,4.015120000000003,92.78,5,1,7,3,0.6967662,1
CC(=O)N1C(c2cccc(C)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(C(C)C)cc1,0.7624801058220742,442.5810000000002,3.8450200000000034,83.55000000000001,4,1,5,2,0.7747979,0
Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccc(C(C)C)cc3)N2C(=O)COc2ccccc2)c1,0.4436376513123414,534.6780000000003,4.904120000000005,92.78000000000002,5,1,8,3,0.6634254,1
CC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(-c2ccccc2)cc1,0.49774261170203077,530.5680000000002,5.099000000000005,83.55000000000001,4,1,5,3,0.0,2
CCCCCNC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(C(C)C)cc1,0.3685543736296122,567.6740000000002,5.908700000000006,95.58000000000001,4,2,9,2,0.0,2
CC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(C)cc1,0.7411784787139595,468.4970000000001,3.740420000000002,83.55000000000001,4,1,4,2,0.0,0
CC(=O)N1CCC(C(=O)N2C(c3cccc(C(F)(F)F)c3)CC(C(=O)NS(C)(=O)=O)C2c2ccc(C(C)C)cc2)CC1,0.5086755121548228,607.695,4.794000000000005,103.85999999999999,5,1,6,2,0.0,1
COCCOCC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(C)cc1,0.48782474952013566,542.5760000000002,3.3835200000000025,102.00999999999999,6,1,9,2,0.0,1
CC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(C)cc1,0.7411784787139595,468.4970000000001,3.740420000000002,83.55000000000001,4,1,4,2,0.0,0
Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3cccc(C(F)(F)F)c3)N2C(=O)CN(C)C)cc1,0.6434785945313148,511.56600000000014,3.2821200000000026,86.79,5,1,6,2,0.0,1
COCC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(C(C)C)cc1,0.5844676329916785,526.5770000000002,4.181900000000003,92.78,5,1,7,2,0.0,1
CC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1,0.7674234776370052,454.4700000000001,3.432000000000002,83.55000000000001,4,1,4,2,0.0,0
COc1ccc(S(=O)(=O)NC(=O)C2CC(c3cccc(C(F)(F)F)c3)N(C(C)=O)C2c2ccccc2)cc1,0.4764177041136595,546.5670000000002,4.869900000000004,92.78,5,1,6,3,0.0,1
CCS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(S(=O)(=O)c2ccc(OC(F)(F)F)cc2)C1c1ccccc1,0.3199256088291253,650.6190000000003,5.563100000000005,109.85000000000001,6,1,8,3,0.0,2
CS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(CCS(N)(=O)=O)C1c1ccccc1,0.5774957739377328,519.5670000000002,2.1739999999999995,126.63999999999999,6,2,7,2,0.0,1
CS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(C(=O)Cn2cc(-c3ccncn3)cn2)C1c1ccccc1,0.34324307101216306,598.6070000000002,3.765800000000003,127.15000000000002,8,1,7,4,0.0,1
CS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(S(=O)(=O)c2ccc(Cl)nc2)C1c1ccccc1,0.42978212065189997,588.0290000000002,4.3228000000000035,113.51,6,1,6,3,0.0,1
CS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(C(=O)c2cccc(-n3cnnn3)c2)C1c1ccccc1,0.3662120179942799,584.5800000000002,3.7016000000000027,127.15000000000002,8,1,6,4,0.0,1
CS(=O)(=O)NC(=O)C1CC(c2cccc(C3CC3)c2)N(C(=O)COc2ccccc2)C1c1ccccc1,0.4787063592135407,518.6350000000003,4.349700000000004,92.78000000000002,5,1,8,3,0.6802729,1
Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccccc3)N2Cc2cncnc2)c1,0.620225744279909,450.56400000000014,3.1653200000000012,92.26,6,1,6,3,0.6841214,0
Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccccc3)N2S(=O)(=O)c2c(C)nn(C)c2C)c1,0.5235815906785769,530.6720000000003,2.914360000000001,118.44,7,1,6,3,0.6559883,1
CS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(C(=O)c2cc3n(n2)CCC3)C1c1ccccc1,0.523804411495891,546.5710000000004,3.8686000000000034,101.37000000000002,6,1,5,3,0.0,1
CC(=O)N1C(c2cccc(C)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1,0.8553528480591113,400.5000000000001,2.7216200000000015,83.55000000000001,4,1,4,2,0.7956984,0
CC(=O)N1C(c2cccc(C)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1,0.8553528480591113,400.5000000000001,2.7216200000000015,83.55000000000001,4,1,4,2,0.0,0
COc1ccc(CNC(=O)N2C(c3cccc(C)c3)CC(C(=O)NS(C)(=O)=O)C2c2ccccc2)cc1,0.4873107566471325,521.6390000000002,4.093520000000003,104.81,5,2,7,3,0.6771488,1
Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccccc3)N2C)c1,0.8962048706747756,372.49000000000007,2.804920000000001,66.48,4,1,4,2,0.7950847,0
