Agent,Prior,Target,Score,SMILES,SMILES_state,Input_Scaffold,R-groups,Scaffold,DENV_Activity,DENV_Activity (raw),Stereo_Centers,Stereo_Centers (raw),QED,QED (raw),SA,SA (raw),MW,MW (raw),Heavy_Atoms,Heavy_Atoms (raw),LogP,LogP (raw),TPSA,TPSA (raw),HBA,HBA (raw),HBD,HBD (raw),Rotatable_Bonds,Rotatable_Bonds (raw),Ring_Count,Ring_Count (raw),Aromatic_Rings,Aromatic_Rings (raw),Stability_Alerts,Stability_Alerts (raw),matchting_patterns (Stability_Alerts),step,IC50_nM
12.3205,14.1092,-14.1092,0.0,CNC(=O)C1CC(c2ccco2)N(C(C)=O)C1c1ccccc1,1,c1ccoc1C1N([*])C(c2ccccc2)C(C(=O)N[*])C1,*C(C)=O|C*,c1ccc(C2CCC(c3ccco3)N2)cc1,0.9576146,7.4768,1e-05,3.0,0.9475319,0.9475,0.3209623,3.4331,0.9731494,312.369,0.782316,23.0,0.9999557,2.6764,0.9999962,62.55,0.97891,3.0,0.9467598,1.0,0.8720069,3.0,0.8720069,3.0,0.5,2.0,1.0,1.0,[],37,33.35799966620482
8.2126,13.3546,-13.3546,0.0,CNC(=O)C1CC(c2cccnc2)N(C)C1c1ccccc1,1,c1ccncc1C1N([*])C(c2ccccc2)C(C(=O)N[*])C1,*C|*C,c1ccc(C2CCC(c3cccnc3)N2)cc1,0.9452925,7.6078,1e-05,3.0,0.9463068,0.9463,0.4526737,3.2964,0.9316698,295.386,0.7356288,22.0,0.9999248,2.5617,0.9971132,45.23,0.97891,3.0,0.9467598,1.0,0.8720069,3.0,0.8720069,3.0,0.5,2.0,1.0,1.0,[],51,24.671752518516005
9.0716,10.7232,-10.7232,0.0,CNC(=O)C1CC(c2ccccc2)N(C)C1c1ccccn1,1,c1ccccc1C1N([*])C(c2ncccc2)C(C(=O)N[*])C1,C*|C*,c1ccc(C2CCC(c3ccccn3)N2)cc1,0.9549323,7.5081,1e-05,3.0,0.9463068,0.9463,0.4170708,3.3318,0.9316698,295.386,0.7356288,22.0,0.9999248,2.5617,0.9971132,45.23,0.97891,3.0,0.9467598,1.0,0.8720069,3.0,0.8720069,3.0,0.5,2.0,1.0,1.0,[],52,31.038448191595403
13.7433,10.5678,-10.5678,0.0,CNC(=O)C1CC(c2ccccc2)N(C)C1c1ccncc1,1,c1ccccc1C1N([*])C(c2ccncc2)C(C(=O)N[*])C1,C*|C*,c1ccc(C2CCC(c3ccncc3)N2)cc1,0.9460592,7.6005,1e-05,3.0,0.9463068,0.9463,0.4315696,3.3173,0.9316698,295.386,0.7356288,22.0,0.9999248,2.5617,0.9971132,45.23,0.97891,3.0,0.9467598,1.0,0.8720069,3.0,0.8720069,3.0,0.5,2.0,1.0,1.0,[],343,25.089961794653988
15.5022,10.9426,-10.9426,0.0,CNC(=O)C1CC(c2ccccc2)N(C)C1c1cccnc1,1,c1ccccc1C1N([*])C(c2cccnc2)C(C(=O)N[*])C1,*C|C*,c1ccc(C2CCC(c3cccnc3)N2)cc1,0.9453078,7.6076,1e-05,3.0,0.9463068,0.9463,0.4459265,3.303,0.9316698,295.386,0.7356288,22.0,0.9999248,2.5617,0.9971132,45.23,0.97891,3.0,0.9467598,1.0,0.8720069,3.0,0.8720069,3.0,0.5,2.0,1.0,1.0,[],479,24.683116896973463
10.1752,11.0737,-11.0737,0.0,CNC(=O)C1CC(c2ccccc2)N(C)C1c1cccnc1,1,c1ccccc1C1N([*])C(c2cccnc2)C(C(=O)N[*])C1,*C|*C,c1ccc(C2CCC(c3cccnc3)N2)cc1,0.9453078,7.6076,1e-05,3.0,0.9463068,0.9463,0.4459265,3.303,0.9316698,295.386,0.7356288,22.0,0.9999248,2.5617,0.9971132,45.23,0.97891,3.0,0.9467598,1.0,0.8720069,3.0,0.8720069,3.0,0.5,2.0,1.0,1.0,[],903,24.683116896973463
13.3967,12.9775,-12.9775,0.0,CC(=O)NC(=O)C1CC(c2ccco2)N(C)C1c1ccccc1,1,c1ccoc1C1N([*])C(c2ccccc2)C(C(=O)N[*])C1,C*|O=C(C)*,c1ccc(C2CCC(c3ccco3)N2)cc1,0.9499236,7.5622,1e-05,3.0,0.946262,0.9463,0.2805033,3.4801,0.9731494,312.369,0.782316,23.0,0.9999557,2.6764,0.9999962,62.55,0.8720069,4.0,0.9467598,1.0,0.8720069,3.0,0.8720069,3.0,0.5,2.0,1.0,1.0,[],919,27.403119210302776
15.018,10.3822,-10.3822,0.0,CC(=O)NC(=O)C1CC(c2ccco2)N(C)C1c1ccccc1,1,c1ccoc1C1N([*])C(c2ccccc2)C(C(=O)N[*])C1,*C|CC(=O)*,c1ccc(C2CCC(c3ccco3)N2)cc1,0.9499236,7.5622,1e-05,3.0,0.946262,0.9463,0.2805033,3.4801,0.9731494,312.369,0.782316,23.0,0.9999557,2.6764,0.9999962,62.55,0.8720069,4.0,0.9467598,1.0,0.8720069,3.0,0.8720069,3.0,0.5,2.0,1.0,1.0,[],1080,27.403119210302776
11.6005,10.0009,-10.0009,0.0,CC(=O)NC(=O)C1CC(c2ccco2)N(C)C1c1ccccc1,1,c1ccoc1C1N([*])C(c2ccccc2)C(C(=O)N[*])C1,*C|CC(*)=O,c1ccc(C2CCC(c3ccco3)N2)cc1,0.9499236,7.5622,1e-05,3.0,0.946262,0.9463,0.2805033,3.4801,0.9731494,312.369,0.782316,23.0,0.9999557,2.6764,0.9999962,62.55,0.8720069,4.0,0.9467598,1.0,0.8720069,3.0,0.8720069,3.0,0.5,2.0,1.0,1.0,[],2122,27.403119210302776
13.7137,22.8345,68.7297,0.7630348,CN1C(c2ccco2)CC(C(=O)NC2=NCC2)C1c1ccccc1,1,c1ccoc1C1N([*])C(c2ccccc2)C(C(=O)N[*])C1,*C|N1=C(*)CC1,O=C(NC1=NCC1)C1CC(c2ccco2)NC1c1ccccc1,0.9502664,7.5587,1e-05,3.0,0.9446423,0.9446,0.1552107,3.6639,0.9855856,323.396,0.822745,24.0,0.9999269,2.9321,0.9999771,57.84,0.8720069,4.0,0.9467598,1.0,0.8720069,3.0,0.1279931,4.0,0.5,2.0,1.0,1.0,[],1671,27.624854546315763
