Agent,Prior,Target,Score,SMILES,SMILES_state,Input_Scaffold,R-groups,Scaffold,DENV_Activity,DENV_Activity (raw),Stereo_Centers,Stereo_Centers (raw),QED,QED (raw),SA,SA (raw),MW,MW (raw),Heavy_Atoms,Heavy_Atoms (raw),LogP,LogP (raw),TPSA,TPSA (raw),HBA,HBA (raw),HBD,HBD (raw),Rotatable_Bonds,Rotatable_Bonds (raw),Ring_Count,Ring_Count (raw),Aromatic_Rings,Aromatic_Rings (raw),Stability_Alerts,Stability_Alerts (raw),matchting_patterns (Stability_Alerts),step,IC50_nM
10.0701,10.9096,-10.9096,0.0,CC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(-c2ccccc2)cc1,1,c1ccc([*])cc1C1N([*])C(c2ccc([*])cc2)C(C(=O)N[*])C1,*C(F)(F)F|*C(C)=O|c1cc(*)ccc1|O=S(*)(C)=O,c1ccc(-c2ccc(C3CCC(c4ccccc4)N3)cc2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['[F,Cl,Br,I][C,c][F,Cl,Br,I]']",1,1000000000.0
12.6678,11.183,-11.183,0.0,CC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(-c2ccccc2)cc1,2,c1ccc([*])cc1C1N([*])C(c2ccc([*])cc2)C(C(=O)N[*])C1,*C(F)(F)F|C(=O)(*)C|*c1ccccc1|O=S(=O)(*)C,c1ccc(-c2ccc(C3CCC(c4ccccc4)N3)cc2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['[F,Cl,Br,I][C,c][F,Cl,Br,I]']",1,1000000000.0
22.5078,18.4971,-18.4971,0.0,CCS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(C(C)=O)C1c1ccc(C(C)C)cc1,1,c1ccc([*])cc1C1N([*])C(c2ccc([*])cc2)C(C(=O)N[*])C1,*C(F)(F)F|CC(*)=O|C(C)(C)*|S(*)(CC)(=O)=O,c1ccc(C2CCC(c3ccccc3)N2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['[F,Cl,Br,I][C,c][F,Cl,Br,I]']",1,1000000000.0
19.5392,19.4149,-19.4149,0.0,Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3cccc(C(F)(F)F)c3)N2C(=O)CNC(=O)OC(C)C)cc1,1,c1ccc([*])cc1C1N([*])C(c2ccc([*])cc2)C(C(=O)N[*])C1,*C(F)(F)F|CC(C)OC(NCC(*)=O)=O|C*|O=S(C)(*)=O,c1ccc(C2CCC(c3ccccc3)N2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['[F,Cl,Br,I][C,c][F,Cl,Br,I]']",1,1000000000.0
22.2395,25.7858,-25.7858,0.0,CCc1ccc(C2C(C(=O)NC(=O)S)CC(c3cccc(C(F)(F)F)c3)N2C(C)=O)cc1,1,c1ccc([*])cc1C1N([*])C(c2ccc([*])cc2)C(C(=O)N[*])C1,*C(F)(F)F|O=C(C)*|*CC|O=C(S)*,c1ccc(C2CCC(c3ccccc3)N2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['[SH]', '[F,Cl,Br,I][C,c][F,Cl,Br,I]']",1,1000000000.0
30.4807,26.5076,-26.5076,0.0,CCS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(C(=O)COc2ccc(OC)cc2)C1c1ccc(-c2ccccc2)cc1,1,c1ccc([*])cc1C1N([*])C(c2ccc([*])cc2)C(C(=O)N[*])C1,*C(F)(F)F|c1(OC)ccc(OCC(*)=O)cc1|c1ccc(*)cc1|*S(CC)(=O)=O,O=C(COc1ccccc1)N1C(c2ccccc2)CCC1c1ccc(-c2ccccc2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['[F,Cl,Br,I][C,c][F,Cl,Br,I]']",1,1000000000.0
19.9704,18.5023,-18.5023,0.0,CC(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(C(=O)c2ccc(C)cc2)C1c1ccc(C)cc1,1,c1ccc([*])cc1C1N([*])C(c2ccc([*])cc2)C(C(=O)N[*])C1,*C(F)(F)F|c1c(C(=O)*)ccc(C)c1|C*|C(=O)(C)*,O=C(c1ccccc1)N1C(c2ccccc2)CCC1c1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['[F,Cl,Br,I][C,c][F,Cl,Br,I]']",1,1000000000.0
23.0057,19.0256,-19.0256,0.0,Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccc(C(C)C)cc3)N2C(=O)CO[N+](=O)[O-])c1,1,c1ccc([*])cc1C1N([*])C(c2ccc([*])cc2)C(C(=O)N[*])C1,*C|*C(=O)CO[N+](=O)[O-]|*C(C)C|O=S(=O)(C)*,c1ccc(C2CCC(c3ccccc3)N2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['[N+](=O)[O-]'],1,1000000000.0
19.7833,21.2146,-21.2146,0.0,Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3cccc(C(F)(F)F)c3)N2C(=O)CCC2CCN(C)CC2)cc1,1,c1ccc([*])cc1C1N([*])C(c2ccc([*])cc2)C(C(=O)N[*])C1,C(*)(F)(F)F|*C(CCC1CCN(C)CC1)=O|*C|O=S(=O)(*)C,O=C(CCC1CCNCC1)N1C(c2ccccc2)CCC1c1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['[F,Cl,Br,I][C,c][F,Cl,Br,I]']",1,1000000000.0
22.0732,23.6981,-23.6981,0.0,COCC(C)(C)OC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(C(C)C)cc1,1,c1ccc([*])cc1C1N([*])C(c2ccc([*])cc2)C(C(=O)N[*])C1,C(*)(F)(F)F|CC(OC(*)=O)(C)COC|*C(C)C|*S(=O)(=O)C,c1ccc(C2CCC(c3ccccc3)N2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['[F,Cl,Br,I][C,c][F,Cl,Br,I]']",1,1000000000.0
