SMILES,Score,DENV_Activity (raw),QED (raw),SA (raw),MW,LogP,HBA,HBD,TPSA
CC(=O)NC(=O)C1CC(c2ccccc2)N(C(C)=O)C1c1ccco1,0.7965251,7.4924,0.9313,3.5406,0.994528,0.9999349,0.8720069,0.9467598,0.9999998
CC(=O)N1C(c2cccc(C)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1,0.7956984,7.5486,0.8554,3.4121,0.9998273,0.999964,0.8720069,0.9467598,0.9999992
Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccccc3)N2C)c1,0.7950847,7.6379,0.8962,3.3483,0.9991344,0.9999593,0.8720069,0.9467598,0.9999992
CNC(=O)C1CC(c2ccccc2)N(C(=O)N2CCCC2)C1c1ccccc1,0.7948752,7.5203,0.8856,3.2884,0.9993506,0.9968084,0.9968477,0.9467598,0.9998322
CNC(=O)C1CC(c2ccccc2)N(C(=O)N2CC2)C1c1ccc(C)cc1,0.7925793,7.4822,0.8511,3.301,0.9985451,0.9996355,0.9968477,0.9467598,0.9998167
CNC(=O)C1CC(c2ccccc2)N(C(=O)N2CCCC2)C1c1ccc(C)cc1,0.7924274,7.4894,0.8578,3.3307,0.9997103,0.9869226,0.9968477,0.9467598,0.9998322
CC(=O)NC(=O)C1CC(c2cccc(C)c2)N(C(C)=O)C1c1ccc(C(C)C)cc1,0.7913067,7.6211,0.8167,3.4691,0.9998778,0.9318909,0.97891,0.9467598,0.9999992
CC(=O)N1C(c2ccccc2)CC(C(=O)NC(=O)N2CCC2)C1c1ccccc1,0.7912005,7.537,0.873,3.331,0.9997095,0.9996382,0.97891,0.9467598,0.9999998
CN1C(c2ccccc2)CC(C(=O)NC(=O)N2CC2)C1c1ccccc1,0.790368,7.6167,0.867,3.2298,0.9967436,0.9999119,0.97891,0.9467598,0.9998167
CC(=O)N1C(c2ccccc2)CC(C(=O)NC(=O)N2CCCC2)C1c1ccccc1,0.790071,7.5465,0.8471,3.3347,0.9998704,0.997823,0.97891,0.9467598,0.9999998
CNC(=O)C1CC(c2cccc(C)c2)N(C(=O)N2CCCC2)C1c1ccccc1,0.7891548,7.492,0.8578,3.3817,0.9997103,0.9869226,0.9968477,0.9467598,0.9998322
CNC(=O)C1CC(c2cccc(C)c2)N(C(=O)N2CCC2)C1c1ccc(C)cc1,0.7876373,7.473,0.8604,3.4234,0.9997103,0.9909854,0.9968477,0.9467598,0.9998322
CNC(=O)C1CC(c2ccccc2)N(C(=O)C(=O)N2CCC2)C1c1ccccc1,0.7868849,7.4748,0.8166,3.392,0.9997095,0.999744,0.97891,0.9467598,0.9999998
CNC(=O)C1CC(c2cccc(C)c2)N(C(=O)N2CCN(C)CC2)C1c1ccccc1,0.7856348,7.4725,0.8297,3.4502,0.9999455,0.9997337,0.97891,0.9467598,0.9999516
CC(=O)N1C(c2cccc(C)c2)CC(C(=O)NC(=O)N2CC2)C1c1ccccc1,0.7851894,7.5188,0.8172,3.3956,0.9997095,0.9997516,0.97891,0.9467598,0.9999998
CNC(=O)C1CC(c2ccccc2)N(C(=O)C(=O)N2CCC2)C1c1ccc(C)cc1,0.7851164,7.4536,0.7984,3.4327,0.9998704,0.9999381,0.97891,0.9467598,0.9999998
CC(=O)NC(=O)C1CC(c2ccccc2)N(C(=O)N2CCCCC2)C1c1ccccc1,0.7846373,7.5565,0.8157,3.3936,0.9999422,0.9870185,0.97891,0.9467598,0.9999998
CNC(=O)C1CC(c2ccccc2)N(C(=O)C2CCN(C)CC2)C1c1ccccc1,0.7845428,7.5191,0.8482,3.3301,0.9998708,0.9993539,0.97891,0.9467598,0.9998322
CNC(=O)NC(=O)C1CC(c2ccccc2)N(C)C1c1ccccn1,0.7836246,7.5255,0.9003,3.4597,0.9938757,0.9997134,0.8720069,0.5,1.0
Cc1ccc(C2C(C(=O)NC(=O)N3CCC3)CC(c3cccc(C)c3)N2C)cc1,0.7832832,7.6086,0.8611,3.3968,0.9997103,0.9909854,0.97891,0.9467598,0.9998322
