SMILES,MW,LogP,TPSA,HBA,HBD,RotBonds,AromaticRings,HeavyAtoms,FractionCsp3,NumRings,NumAliphaticRings,pIC50,QED,SA,TotalScore,Scaffold,HasNitro,HasAzo,HasHalogenatedCarbon,HasQuinone,HasMichaelAcceptor,HasPeroxide,HasAcylChloride,HasSulfonylChloride,ToxicityRiskScore
CN1C(c2ccccc2)CC(C(=O)NCC2CCNC2)C1c1ccccc1,363.505,3.1464000000000016,44.370000000000005,3,2,5,2,27,0.43478260869565216,4,2,8.0132,0.8577,3.4721,0.7262579,O=C(NCC1CCNC1)C1CC(c2ccccc2)NC1c1ccccc1,False,False,False,False,False,False,False,False,0
CN1C(c2ccccc2)CC(C(=O)NCC2CCNCC2)C1c1ccccc1,377.53200000000004,3.536500000000002,44.370000000000005,3,2,5,2,28,0.4583333333333333,4,2,8.1588,0.8377,3.3171,0.721957,O=C(NCC1CCNCC1)C1CC(c2ccccc2)NC1c1ccccc1,False,False,False,False,False,False,False,False,0
CN1C(c2ccccc2)CC(C(=O)NCC2CCNC2)C1c1ccncc1,364.493,2.5414000000000003,57.260000000000005,4,2,5,2,27,0.45454545454545453,4,2,8.0141,0.8561,3.6548,0.7122718,O=C(NCC1CCNC1)C1CC(c2ccccc2)NC1c1ccncc1,False,False,False,False,False,False,False,False,0
CN1C(c2cccnc2)CC(C(=O)NCC2CCNC2)C1c1ccccc1,364.493,2.5414000000000003,57.260000000000005,4,2,5,2,27,0.45454545454545453,4,2,8.0278,0.8561,3.6381,0.7116767,O=C(NCC1CCNC1)C1CC(c2cccnc2)NC1c1ccccc1,False,False,False,False,False,False,False,False,0
CN1C(c2ccccc2)CC(C(=O)NCC2CCCNCC2)C1c1ccccc1,391.5590000000001,3.9266000000000023,44.370000000000005,3,2,5,2,29,0.48,4,2,8.1579,0.8118,3.4654,0.7114344,O=C(NCC1CCCNCC1)C1CC(c2ccccc2)NC1c1ccccc1,False,False,False,False,False,False,False,False,0
O=C(NCC1CCNC1)C1CC(c2ccccc2)N(C(=O)N2CCCC2)C1c1ccccc1,446.5950000000003,3.732400000000003,64.68,3,2,5,2,33,0.48148148148148145,5,3,8.0055,0.7356,3.6571,0.7114231,O=C(NCC1CCNC1)C1CC(c2ccccc2)N(C(=O)N2CCCC2)C1c1ccccc1,False,False,False,False,False,False,False,False,0
CN1C(c2ccccc2)CC(C(=O)NCC2CCNC2)C1c1cccnc1,364.493,2.5414000000000003,57.260000000000005,4,2,5,2,27,0.45454545454545453,4,2,8.032,0.8561,3.6434,0.7110554,O=C(NCC1CCNC1)C1CC(c2ccccc2)NC1c1cccnc1,False,False,False,False,False,False,False,False,0
CCNC(=O)C1CC(c2cccnc2)N(C2CCCNCC2)C1c1ccccc1,392.54700000000014,3.464100000000002,57.260000000000005,4,2,5,2,29,0.5,4,2,8.0387,0.8182,3.6954,0.7087948,c1ccc(C2CCC(c3cccnc3)N2C2CCCNCC2)cc1,False,False,False,False,False,False,False,False,0
CN1C(c2cccs2)CC(C(=O)NCC2CCNC2)C1c1ccccc1,369.534,3.207900000000002,44.370000000000005,4,2,5,2,26,0.47619047619047616,4,2,8.0158,0.8506,3.6991,0.7087322,O=C(NCC1CCNC1)C1CC(c2cccs2)NC1c1ccccc1,False,False,False,False,False,False,False,False,0
CN(C)C(=O)N1C(c2cccnc2)CC(C(=O)NCC2CCNC2)C1c1ccccc1,421.5450000000002,2.5932000000000004,77.57000000000001,4,2,5,2,31,0.4583333333333333,4,2,8.0001,0.778,3.8163,0.7083712,O=C(NCC1CCNC1)C1CC(c2cccnc2)NC1c1ccccc1,False,False,False,False,False,False,False,False,0
CN(C)C(=O)NC(=O)C1CC(c2ccccc2)N(C(=O)CC2CCNCC2)C1c1ccccc1,462.5940000000003,3.5050000000000017,81.75,4,2,5,2,34,0.4444444444444444,4,2,8.0105,0.7126,3.6573,0.7082676,O=C(CC1CCNCC1)N1C(c2ccccc2)CCC1c1ccccc1,False,False,False,False,False,False,False,False,0
CC(=O)N1C(c2ccccc2)CC(C(=O)NCCC2CCNCC2)C1c1ccncc1,420.5570000000002,3.2383000000000015,74.33000000000001,4,2,6,2,31,0.48,4,2,8.0266,0.7525,3.5767,0.7070738,O=C(NCCC1CCNCC1)C1CC(c2ccccc2)NC1c1ccncc1,False,False,False,False,False,False,False,False,0
